"","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050"
"Metal.products",22525.4372514006,21131.2654229023,20896.1839328532,20685.1364479609,20358.9315439242,20507.4296775635,19797.281767039,19894.5623359629,19729.1194429923,19511.2156806674,19441.1634378206,18974.2737366487,18508.5297423915,18585.3143328109,17949.379556219,16934.3546681001,16970.3319436046,16213.637200535,15518.9431479021,14426.2129997508,14040.1857797156,12676.6717182687,11664.596877424,10434.0511353426,9108.54288391472,7156.09082860887,5627.98588739394
"Computer..electronic.and.optical.products",1279.69373342962,1200.380168408,1187.03837396337,1174.99186996995,1156.42057471766,1164.9675965781,1124.51876793291,1130.08931760436,1120.64729992058,1108.27625460397,1104.26336150462,1077.78105889523,1051.26827411001,1055.66052701392,1019.52997765548,961.69097734938,963.812592743009,920.783776272897,881.20387855048,819.081734029312,797.1106001135,719.569861686269,662.018055910981,592.08217809201,516.633664364592,405.633087656571,318.777123735379
"Electrical.equipment",13373.231808931,12771.1858393671,12603.8619570501,12595.6850722567,12483.1353478298,12342.5586972362,12137.0674224709,12104.0218098367,12094.729262111,11948.2166589403,11975.1362499247,11610.7561546439,11444.5575656251,11428.0658571887,11055.5307029006,10813.2606016511,10674.0321382494,10307.8487725473,10130.1704255216,9570.27916900248,9424.83796976593,8776.66883409839,8288.99348335853,7614.80565105626,7127.50411209224,6133.1009805775,5314.1522863643
"Machinery",19703.908379334,19299.4197283118,18993.5323120772,19231.931411951,19239.5585902523,18543.3080536549,18702.6826269827,18459.8292977673,18636.302332895,18383.7722595996,18569.9326738247,17846.6166826322,17837.6274001867,17680.5829037029,17142.4213603442,17556.0118093391,17007.4796220734,16645.5679914137,16885.7765936972,16250.8496288949,16215.627617299,15605.6327414208,15129.136626855,14256.3610483485,14179.1293760106,13066.3020480344,12048.4485149163
"Motor.vehicles..trailers.and.semi.trailers",2930.89249562358,2749.66018020083,2719.05168474013,2691.67954538069,2649.29659072243,2668.44602166638,2576.208139287,2588.79735482106,2567.33780333229,2538.97238193698,2529.90917607933,2469.09421715199,2408.57716377952,2418.5211938017,2335.78045495685,2203.98225365993,2208.54241407531,2110.14783158226,2019.93476982953,1877.8213784176,1827.65663370811,1650.36487376964,1518.76426603641,1358.6945545552,1186.45213485082,932.533406337616,733.77088059
"Other.transport.equipment",391.884357714434,366.82324146995,362.832586699441,358.742523790983,352.777635834148,356.178227821608,343.051461689328,345.068252311453,341.872295557166,338.142576941029,336.67911849659,328.86790820631,320.371110641428,321.928721800736,310.847183174839,291.901141492688,293.100709859278,279.639460827255,266.714972485405,247.386876990983,240.371859357046,216.073890798137,198.062072206099,176.452354120817,152.321535903337,117.765368842881,90.8649416694335
"Furniture.and.other.manufactured.goods.n.e.c.",3511.89042325139,3285.63929920978,3250.08161966232,3212.56432933928,3158.51130829602,3190.67327567032,3071.44282647461,3090.18622414329,3060.88947174683,3027.59189271283,3013.97165007094,2944.61431356868,2867.65609497891,2882.07265102331,2782.72791009556,2610.28380273022,2622.21844289372,2500.97206871966,2383.41684946654,2209.5517039505,2146.06853314589,1927.13091290391,1764.88215498769,1570.8097149779,1352.3497595057,1041.45760767279,799.736911503315
"Repair.maintenance.install..of.machinery.a..equip.",5100.27285527431,4782.68031690834,4729.68869574792,4680.90613016213,4606.35566591537,4641.92540978023,4479.29272474846,4502.09190145602,4463.87513646511,4414.68263738923,4398.23825540849,4293.26569140584,4186.87197107016,4204.78598835414,4060.75316634109,3827.86214469528,3837.37468965913,3665.33494752109,3506.04277423812,3257.86764394967,3169.7497085425,2859.64613573657,2629.52616817549,2350.42278867993,2047.74774932005,1604.26611782398,1257.51711854894
"Electric.current.supply.of.electr..steam.air.cond.",4366.84541468442,4079.52303324311,4036.0459320201,3986.28569304712,3916.92007683671,3962.9846924475,3808.99018075593,3834.70730581449,3795.91731865928,3754.96875942467,3736.21382772795,3652.28660965748,3553.66451046834,3573.23887576737,3449.57590316473,3225.58396388808,3244.68760135926,3091.7190296522,2939.31274124259,2720.76173600817,2639.60055430329,2363.07991376945,2158.32726929177,1915.51182098468,1635.91321060794,1244.96141716764,942.051051145086
"Manufact..gases.distrib..services.of.gaseous.fuels",2107.26278560655,1966.61220475009,1945.87797191029,1920.82747039805,1886.63537161285,1910.8919621056,1834.66463967266,1847.87958993576,1828.37278736247,1808.76464735038,1799.1069725486,1759.37999771486,1710.81110625767,1720.80719923437,1661.08799173427,1549.80425382515,1560.44643739517,1485.89368798738,1410.26755966688,1304.01601724564,1264.10858921097,1129.24069965112,1029.43200136969,911.75930831236,774.180113375668,584.062107149367,437.107274363744
"Natural.water..water.treatment.and.supply.services",1203.13834282338,1124.83161524112,1112.74774305175,1099.4819007632,1080.67798229191,1092.50254676439,1050.89367361687,1057.63500237648,1047.28479322973,1035.93780308746,1031.03018216544,1007.57636041709,980.82245387702,985.98021778749,951.928029796208,891.580367307225,896.235051955874,854.404508109575,813.303861534577,753.426232766028,731.382388935253,655.807907821893,599.824180331771,533.138198954587,457.239905449114,350.150689037969,267.02846727215
"Sewage..waste.disposal..material.recovery.services",7715.6186535427,7197.10770282851,7121.62437097187,7028.07285458914,6901.61266205745,6994.00189547928,6711.5221260237,6761.32708610879,6688.51411555676,6616.988027626,6580.55623203857,6436.46101975604,6256.90473810225,6294.47511766415,6075.73835645771,5662.64737266623,5704.12306443104,5429.8543115857,5149.28446933275,4758.86188409636,4611.43432608,4115.10174054885,3747.88895608658,3316.15609748633,2807.73456262193,2109.05354571908,1569.60728876032
"Building.construction.works",1248.68840423056,1166.43672106216,1154.01594071461,1139.7390799154,1119.87088112943,1133.13677675718,1089.01377711428,1096.4047729505,1085.2763926075,1073.57428871464,1068.18325899944,1044.22025108145,1015.97425845683,1021.5969649922,986.233792998663,922.03604076742,927.564555316918,883.789504553111,840.113007485685,777.582448606224,754.340260961575,675.20369602472,616.608762135005,547.153169765478,467.079731034301,355.220466205539,268.567798430112
"Civil.engineering.works",1687.16397676086,1577.14435447215,1560.22492728277,1541.51326570731,1515.06903438932,1531.86340731883,1473.31415978189,1482.851998175,1468.25515742711,1452.35919045044,1445.41349896346,1412.60524241959,1374.98556774227,1382.27605382288,1334.51991803333,1249.55907105417,1256.23571404722,1197.49937713678,1139.64548131322,1055.59628139879,1024.60625314754,918.477896878421,839.866493572613,746.300130274099,639.589051365001,489.26432445032,372.619709674489
"Specialised.construction.works",377895.409848878,352803.07104757,349068.746191685,344644.18418529,338559.434217344,342777.062790664,329232.224244288,331549.540974245,328102.824495501,324576.580513082,322884.29637299,315709.626611179,307063.573181022,308820.265572031,298113.722085875,278365.638456347,280181.215086768,266859.715649824,253433.469711614,234430.777735699,227322.61600919,203230.081092279,185396.857783539,164327.226380937,139828.469657466,105829.907464501,79527.5607435884
"Wholesale.ret.trade.repair.of.motor.veh..motorcyc.",14811.2532340987,13864.8103478224,13713.8925735231,13559.6933795438,13334.5170290981,13462.2911995508,12966.875240106,13042.8016156684,12922.3025625299,12781.2817070819,12726.1953049812,12430.6846436837,12109.910734246,12168.5767502593,11749.7669219694,11034.8852439535,11079.6955911629,10571.2009704826,10083.4912898176,9353.27847394163,9088.421133642,8170.61017354058,7490.22588089625,6673.67259727658,5762.63319732127,4457.12525967592,3440.71458139369
"Wholesale.trade.serv..exc..motor.veh..a..motorcyc.",54057.917930558,50539.2523923017,49996.3498959708,49400.1576821007,48555.1809612476,49086.7563853021,47216.9653225341,47519.9729681319,47054.8179521062,46545.0107262606,46324.4211062974,45270.733188385,44068.5206185287,44300.341233742,42770.3442773545,40058.4231219374,40267.7643703685,38388.181456622,36541.2018690266,33850.7424314555,32860.190094142,29464.3676692664,26948.8334507844,23952.5105689373,20541.9644029237,15730.1567156993,11995.3008207202
"Retail.trade.serv..exc..motor.veh..and.motorcycles",93698.8107829491,87637.1840588378,86691.5821345949,85677.5535917139,84226.3562106682,85109.9396222798,81904.736231787,82414.9361113543,81623.3764267634,80736.8924285878,80365.8644763611,78525.0949798563,76459.5235795679,76851.0809523093,74199.959821391,69558.9216281693,69895.2370018308,66651.0740150768,63488.489729355,58839.7886683858,57136.6982005304,51277.366519301,46935.8847271545,41751.6627129336,35889.6645808574,27576.5642144146,21117.5110207836
"Land.transp.serv..a..transport.serv..via.pipelines",25418.9535388331,23753.1279320037,23499.2345137015,23213.0357111399,22811.6553523333,23073.0540410555,22183.034869928,22330.056600006,22106.8839911963,21868.0216106233,21760.8693825112,21269.7691430494,20698.9499128082,20811.0614337223,20091.3798852186,18798.161826028,18904.6311956453,18016.6640429359,17136.4388313872,15866.8938526128,15396.9300564248,13792.0852619261,12603.5759069541,11191.8333773882,9573.1464667275,7302.31043411232,5541.70135884138
"Water.transport.services",76.9342004338814,71.936359753244,71.1624988029482,70.3191252611499,69.120113654538,69.8666502884163,67.215039393445,67.6423079142604,66.9841926341442,66.2578958202493,65.9469493734745,64.4435522803516,62.7374046446843,63.0646157349376,60.8873722695262,57.0435576387011,57.3344735896674,54.6631151275558,52.0447832059586,48.2196538077863,46.8135764015019,41.9877539885458,38.4126376321874,34.1507906287432,29.3100548170459,22.4691782989061,17.1576584943063
"Air.transport.services",919.743539167011,862.7590091913,853.167532494403,844.51974832899,831.179289776462,837.302105790626,808.249662230565,812.245352459759,805.466990031656,796.574144918753,793.696016025874,774.654946155433,755.609334594004,758.76068305423,732.793317539844,691.254863685984,692.765593837448,661.84715738529,633.420872120884,588.780157729793,572.996392456605,517.280375137559,475.926601440066,425.667132413092,371.467003397917,291.702977586682,229.285481916723
"Warehousing.and.other.services.for.transportation",17830.5504534335,16678.5212748398,16498.3949398243,16306.1953888177,16030.5685384318,16197.2143809726,15588.6899277647,15685.184924061,15535.1359160615,15366.3289664924,15296.172011804,14945.3095245309,14552.9605425236,14627.0662588259,14122.600162024,13241.7853042822,13304.7339876675,12687.9248935808,12087.6326774827,11203.5829042747,10880.0388722474,9766.08476182463,8940.65695408279,7954.48691404869,6840.93048892273,5260.05527555332,4031.49814903601
"Postal.and.courier.services",16363.840626509,15331.1251851431,15162.7960653304,14999.1478795244,14755.0181143978,14883.0718415001,14348.1148165346,14426.7942754258,14298.7625699612,14141.976286699,14085.0433147502,13753.5569007247,13405.4824053599,13466.7389291843,13004.315002793,12235.1556802955,12275.4562417566,11718.4209747179,11193.0466174752,10391.3837980304,10103.5639725671,9098.7938638776,8353.57782542583,7454.66194740878,6465.30262398291,5032.39107313684,3914.49661926413
"Accommodation.and.food.services",44369.2464114456,41512.7607063815,41063.2821363343,40590.3121563856,39908.114945383,40312.450126629,38807.9808787921,39043.9914330067,38674.6333768371,38253.8016951953,38082.3222746857,37205.2991384093,36233.9726931959,36415.5689526918,35160.4906930563,32984.9803589654,33134.3590410928,31603.2575785051,30120.1161048755,27924.2793913298,27122.964548654,24358.3154616341,22309.4529350358,19858.0332694359,17100.6278633363,13174.254479357,10121.1252483651
"Publishing.services",2921.44897601156,2732.42696684154,2702.94706181307,2671.31719962435,2626.06087999773,2653.63626600831,2553.67618478429,2569.5941063312,2544.90383881478,2517.26597352054,2505.68984859359,2448.30614032612,2383.89084333586,2396.10632684142,2313.44606158354,2168.70147696251,2179.20576325048,2078.04608454459,1979.41271137821,1834.46007500007,1781.34964539602,1598.64233717428,1463.26576885473,1301.61973881423,1118.81356690705,859.599456298874,658.201650717672
"Audio.visual.media..music.publishing..broadcasting",1414.25555258305,1322.72269883484,1308.45515765745,1293.12856592319,1271.21002986807,1284.5879498488,1236.17063368351,1243.88785215193,1231.92423061977,1218.54707127555,1212.93450094154,1185.1663941813,1153.96943302688,1159.89070197783,1119.87474142079,1049.75933440449,1054.86464556102,1005.88339045823,958.105975234721,887.924086892916,862.20309332919,773.735259096067,708.186018408323,629.927055780458,541.393921821968,415.889182548827,318.382606432497
"Telecommunication.services",2673.84136814694,2501.25098573243,2474.21909197152,2445.48335768273,2404.21049476836,2429.03207648374,2337.93778290209,2352.34118584687,2329.90553048669,2304.57888584999,2294.10868638558,2241.42972053269,2182.67487919575,2193.74196234576,2118.09671008267,1986.27633393776,1995.59781623265,1903.16323169653,1813.31715032953,1680.81183804382,1632.35532172275,1465.42726964,1341.7307247618,1193.8877128489,1027.12109783902,790.176803725719,606.009284041781
"Computer.programming..consultancy..inform.services",12284.6204211777,11499.1016171226,11373.9937079181,11245.8249164347,11058.871176579,11165.3841127234,10753.9744805923,10817.1612843226,10717.0097792238,10600.0856355986,10554.2359365344,10309.3402203145,10043.0284269837,10091.8320400156,9744.45470166073,9150.68002171017,9188.22224969004,8766.27658592191,8361.21498682084,7755.36018415674,7535.48843809912,6773.86789390048,6209.28445788905,5531.8939416604,4775.56596408418,3692.37717851941,2849.14799486189
"Financial.services",16146.9328551172,15100.4079682781,14937.6924425665,14761.9417879983,14511.1636627923,14665.392839998,14111.1917278328,14199.8927004462,14062.7215953259,13910.1026688333,13845.5762202984,13529.1082537423,13172.2057139471,13240.2147689982,12783.3092029096,11980.4357881626,12039.7704798316,11479.9973985656,10932.9808068443,10131.1166984408,9836.90780554124,8825.79604284275,8076.66562612445,7182.79494050618,6170.03678962684,4736.0425576616,3622.20896404672
"Insurance.and.pension.funding.services",3971.84174578079,3713.47194940342,3673.56314840056,3629.84167037756,3567.81551614558,3606.71021167571,3469.48275333746,3491.681502827,3457.56784031957,3420.09820011325,3403.93921273024,3326.45891609264,3238.20597908331,3255.1947102734,3142.78354531148,2943.78383093173,2959.05107142525,2821.00982740857,2685.47163012937,2487.85629861179,2415.13600868776,2165.74635750164,1981.00070155798,1760.88938790301,1510.51598791567,1157.09091163289,882.739372883886
"Services.related.to.financial.a.insurance.services",4881.31628642868,4564.45176933299,4515.32259437591,4461.93588956734,4385.94668508285,4433.07148877395,4265.06033553184,4292.07381305105,4250.41161080554,4204.31148280717,4184.65487518931,4089.17541318193,3981.04028536645,4001.73563808727,3863.59932598862,3620.09751683244,3638.38605327709,3468.98153219484,3303.10153127578,3060.49874017052,2971.37440797265,2665.35620860918,2438.64190778646,2168.29601112538,1861.47754960301,1427.61192920577,1090.70012380187
"Real.estate.services",13726.0053290237,12838.154823567,12699.6179818028,12551.1352778641,12338.5920157113,12467.9056249038,11998.4894621154,12073.1801181324,11957.2718573806,11827.4009565567,11773.0856934443,11503.3831199103,11200.855489729,11258.1815846133,10869.819668084,10190.1446955668,10239.3253135846,9764.13029428242,9300.96746906712,8620.02378963532,8370.58194345675,7512.33115043472,6876.40533971473,6116.99533051045,5258.42838936901,4040.7251179871,3094.58135801675
"Legal..accounting..management.consultancy.services",27292.244034694,25542.72254955,25265.3124125496,24978.2989643529,24561.3819830559,24802.4430625371,23884.2494912712,24026.385846982,23802.1627012644,23542.7287677696,23439.5408440814,22897.152880056,22303.3644688653,22412.9905594586,21641.1393379614,20315.0022839318,20401.5153562836,19462.4886792445,18558.0376707406,17210.3153910793,16720.2150251353,15025.0318745443,13768.5297632374,12262.5078266088,10576.4070840902,8166.74270600307,6291.6665487124
"Architectural.a..engineering.serv...techn..testing",15253.7182467031,14254.0459567477,14101.689322193,13929.9315981478,13689.0580065261,13845.9448350935,13311.828992413,13400.0649244031,13266.1316286685,13122.7939142688,13058.4856523874,12763.7891344078,12421.2335830819,12488.5172180012,12056.6413485206,11280.5541483367,11344.4620874516,10811.5913085902,10283.3508317223,9521.49754325163,9239.46728954798,8276.39572074809,7563.16878747637,6715.98717886062,5744.59486066371,4381.866728494,3325.32971712569
"Scientific.research.and.development.services",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Advertising.and.market.research.services",3839.14271628748,3586.71373446212,3548.46931869139,3504.81178439545,3443.89052332909,3484.2137025343,3348.99355321913,3371.53353506302,3337.49902512527,3301.48570737192,3285.04954688623,3211.19769672057,3124.5777105345,3141.73919765789,3033.02386381007,2836.37523277344,2853.04757464798,2718.62767744107,2584.81807282149,2392.74534946012,2321.45594076785,2078.47421489938,1898.55101601873,1685.12121260405,1439.53918849947,1095.95712419954,829.718836610948
"Other.prof..scientific.techn..veterinary.services",3157.29764603098,2953.95541888927,2921.98003617534,2888.28431289362,2839.71216744066,2868.56138709908,2761.43131387766,2778.25625250169,2751.94298831454,2722.00253901954,2709.77710311009,2647.39780042295,2578.24152156956,2591.18470587403,2501.87215794443,2346.94259039823,2357.62629931224,2248.64581622548,2143.02715354623,1986.74243075108,1929.69304045325,1732.90749287175,1587.07321477922,1412.612229386,1216.29564788512,936.841120677002,719.552002965022
"Rental.and.leasing.services",4359.37917651364,4071.66952700174,4028.37481997202,3978.24370735616,3908.68090337353,3955.55724126415,3800.98466854758,3827.01131013974,3787.94143990897,3747.12963545822,3728.14006372156,3644.69577194773,3545.81285129048,3565.59542001757,3442.12435387008,3217.11256422708,3236.80870801853,3083.7783138574,2930.71869101738,2712.19543513956,2630.84701518371,2354.17105354013,2149.32784494049,1906.70806205062,1626.42097675648,1235.49621556521,932.760081956704
"Employment.services",25376.3389570076,23775.7063124908,23514.5632357638,23261.2299640037,22882.9524408413,23080.6629965013,22251.8963611294,22373.563859894,22175.3559119576,21932.1533183313,21844.1245847724,21329.7382474875,20790.3787113697,20885.136672702,20168.0486427378,18976.63950674,19038.5253393088,18175.0148443386,17361.179457452,16118.3331250656,15672.3129177935,14114.7721347994,12959.5535436266,11565.7678867629,10032.6513044835,7811.18020564041,6077.93328385117
"Travel.agency..tour.operator.other.reserv.services",2400.88380865622,2246.41175966693,2222.07795676409,2196.53495647168,2159.65497225455,2181.43631158414,2100.11973721233,2112.85177757985,2092.90331194511,2070.12417201362,2060.87447139627,2013.38020013518,1960.86750178149,1970.66738928504,1902.75544256734,1785.18954613141,1793.20396682183,1710.389383399,1630.2348560969,1511.45296913393,1468.12848080471,1318.59833529571,1207.77983839647,1075.15410156547,926.075067172052,713.683807799421,548.512341267627
"Invest...security..admin...support.services.n.e.c.",52587.7263210806,49170.4465837023,48641.6093052046,48064.5846341031,47244.6337145834,47755.9845558801,45942.4947994435,46234.9721787152,45784.7101213105,45288.3356344734,45075.4727264929,44048.2430839673,42881.5080463575,43105.4586570431,41617.1988909178,38988.1186751506,39187.7174120757,37361.3471354583,35570.5184083287,32955.4707990699,31993.9696058017,28694.5701579071,26250.3038967968,23336.892419147,20026.656921896,15349.8683136026,11718.8137127663
