"","mean"
"multiplier",1.15508669194569
"growth_employed",1026695.48610144
"growth_employment",895734.79383407
"growth_employment_construction",273723.485114941
"growth_imports",17483733046.0599
"growth_profit",19793970394.5025
"growth_wages",36946924401.2973
"growth_VA",68003681636.3499
"initial_stimulus",58893433337.4126
