,"Products of agric., hunting and related services","Products of forestry, logging and related services","Fish,aquaculture prod.,support services to fishing",Coal,Crude petroleum and natural gas,"Metal ores, other mining and quarr. prod.,services","Food products, beverages, tobacco products","Textiles,wearing apparel,leather,leather products","Wood,cork,exc.furn.,art.of straw and plaiting mat.",Paper and paper products,"Printing services, rec. sound,image,data carriers",Coke and refined petroleum products,Chemicals and chemical products,Pharmaceutical products,Rubber and plastics products,Glass and glassware,"Ceramic products, processed stone and clay","Pig iron,steel,products of the first proc.of steel",Non-ferrous metals and semi-finished products,Foundry products,Metal products,"Computer, electronic and optical products",Electrical equipment,Machinery,"Motor vehicles, trailers and semi-trailers",Other transport equipment,Furniture and other manufactured goods n.e.c.,"Repair,maintenance,install. of machinery a. equip.","Electric current,supply of electr.,steam,air cond.","Manufact. gases,distrib. services of gaseous fuels","Natural water, water treatment and supply services","Sewage, waste disposal, material recovery services",Building construction works,Civil engineering works,Specialised construction works,"Wholesale,ret.trade,repair of motor veh.,motorcyc.","Wholesale trade serv.,exc. motor veh. a. motorcyc.","Retail trade serv.,exc. motor veh. and motorcycles",Land transp.serv. a. transport serv. via pipelines,Water transport services,Air transport services,Warehousing and other services for transportation,Postal and courier services,Accommodation and food services,Publishing services,"Audio-visual media, music publishing, broadcasting",Telecommunication services,"Computer programming, consultancy, inform.services",Financial services,Insurance and pension funding services,Services related to financial a.insurance services,Real estate services,"Legal, accounting, management consultancy services","Architectural a. engineering serv., techn. testing",Scientific research and development services,Advertising and market research services,"Other prof.,scientific,techn.,veterinary services",Rental and leasing services,Employment services,"Travel agency, tour operator,other reserv.services","Invest., security, admin., support services n.e.c.",Public administration and defence services,Compulsory social security services,Education services,Human health services,Residential care and social work services,"Arts, culture and gambling services","Sporting, amusement and recreation services",Services of membership organisations,Repair of data processing equipment and durables,Other personal service activities,"Goods a. services of private households, non-spec.",Input of all homogeneous branches,Household final consumption exp.(domestic concept),Final consumption expenditure of NPISHs,Government final consumption expenditure,"Fixed asset investments in machinery,equipment etc",Fixed asset investments in construction,Changes in invent. a. acq. less disp. of valuables,Exports,Exports in EU countries,Exports in member states of the EMU,Exports in non-member states of the EMU,Exports in third countries,"Final uses of products, total",Total uses of products
"Sporting, amusement and recreation services",0,0,0,0,0,0,193,0,0,0,0,0,11,9,0,0,0,1,0,0,0,0,0,14,57,0,0,0,0,0,9,0,0,0,0,4,0,8,0,0,0,0,17,0,0,0,97,0,537,106,0,0,0,0,109,0,0,0,0,0,4,5124,9,1030,83,0,0,5014,769,0,0,0,13205,8715,1982,5559,0,0,0,248,42,30,12,206,16504,29709
Services of membership organisations,70,6,3,35,2,40,282,51,17,46,57,76,139,22,61,19,31,47,20,29,86,100,80,98,121,17,40,25,126,30,1,165,137,89,559,211,317,1332,159,1,4,367,0,82,116,49,5,71,307,115,23,13,677,292,110,56,107,40,33,45,205,135,69,59,461,86,84,9,10,5,176,0,8558,2752,24284,7687,0,0,0,191,134,84,50,57,34914,43472
Repair of data processing equipment and durables,0,0,0,0,0,0,60,23,23,21,20,18,58,13,19,20,24,17,22,5,18,100,62,61,65,20,25,0,0,47,24,0,20,24,22,0,18,264,47,23,60,22,0,137,32,26,37,66,78,62,44,17,80,62,49,27,51,24,0,52,41,54,20,112,56,30,0,0,3,0,0,0,2425,1526,0,0,0,0,0,395,167,101,66,228,1921,4346
Other personal service activities,12,1,0,8,3,17,121,6,3,11,15,4,38,0,16,1,10,17,2,11,19,46,37,46,22,0,19,11,21,19,0,143,6,2,26,20,95,174,17,1,1,19,4,515,11,39,87,98,95,44,7,54,847,183,71,62,77,66,37,36,9,53,4,24,591,412,263,213,3,3,5862,0,10810,43362,0,0,0,0,0,0,0,0,0,0,43362,54172
"Goods a. services of private households, non-spec.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7347,0,0,0,0,0,0,0,0,0,0,7347,7347
Total uses of domestic production,29487,2457,202,1451,537,7545,116342,10868,16059,23205,8021,15077,86253,14558,28906,4977,21835,67927,18539,8532,60655,28098,38264,116030,220260,26047,21208,26669,60238,7223,3295,28728,45007,25193,97366,26557,114376,86349,51307,6093,9198,75913,27945,45390,24180,18995,39322,56397,64223,43912,15523,108008,75134,32239,27093,12048,16605,23268,8622,14213,49428,74490,9603,36096,57970,28286,9155,10578,9942,1143,15627,0,2612287,1316795,49237,648260,240444,280975,-29801,1277574,737200,471587,265613,540374,3783484,6395771
Use of imports,4688,464,93,272,120,1674,33919,4925,2868,10419,2714,38788,43282,11304,24653,1514,4124,13262,19818,4461,20926,16023,20158,41280,73312,10773,10316,8764,17030,1443,336,5683,3284,2721,24386,6885,13185,9110,3876,13259,8804,15592,3641,6795,3810,2558,2717,9542,5594,7632,1147,3124,7948,3746,5237,1420,1708,1718,1002,13677,6330,8540,711,2696,9077,4472,1715,540,1035,337,1391,0,670368,165719,0,13759,115569,10706,58342,292574,162967,96480,66487,129607,656669,1327037
Taxes on products less subsidies on products,1254,76,12,6,6,264,1334,163,91,203,81,447,946,152,324,12,44,66,70,116,219,635,341,969,987,185,209,178,431,111,155,1666,535,191,1285,322,2345,1224,2687,11,141,2809,1187,1094,74,42,158,107,5702,2902,1116,4922,697,135,2458,23,164,220,32,457,470,12002,1324,3230,7993,4145,1392,976,1326,15,285,0,77951,184914,0,8347,7669,53814,0,0,0,0,0,0,254744,332695
Use of products at purchaser's prices,35429,2997,307,1729,663,9483,151595,15956,19018,33827,10816,54312,130481,26014,53883,6503,26003,81255,38427,13109,81800,44756,58763,158279,294559,37005,31733,35611,77699,8777,3786,36077,48826,28105,123037,33764,129906,96683,57870,19363,18143,94314,32773,53279,28064,21595,42197,66046,75519,54446,17786,116054,83779,36120,34788,13491,18477,25206,9656,28347,56228,95032,11638,42022,75040,36903,12262,12094,12303,1495,17303,0,3360606,1667428,49237,670366,363682,345495,28541,1570148,900167,568067,332100,669981,4694897,8055503
Compensation of employees (domestic concept),6178,1102,84,2025,458,3021,32515,4896,4888,6410,4241,1456,20000,2948,18284,2360,8043,6411,3418,5059,41732,16000,25901,62932,49521,9105,16856,17540,13304,3221,2403,10847,14163,12009,59809,32616,98248,82112,28960,756,5059,32933,17806,34932,10519,8145,7994,60153,43618,12152,14198,17247,73516,33340,62343,8327,5990,6298,28764,3038,47524,124783,23269,106557,113061,69833,9288,9041,29237,2172,10905,7347,1771221,0,0,0,0,0,0,0,0,0,0,0,0,0
Wages and salaries,5239,884,72,1251,340,2334,27534,4182,4163,5349,3599,1176,16009,2405,15365,1980,6727,5312,2851,4201,35535,13167,21324,53348,40598,7371,14386,14865,10466,2555,1930,8945,11842,10062,50418,27851,83461,69966,24135,634,4348,26424,14561,29924,8898,6289,6295,50526,35778,9561,11771,14162,59512,28519,50957,7144,5126,5274,24429,2608,40331,92740,17677,82572,95759,58324,7450,7357,23695,1696,9283,7171,1459993,0,0,0,0,0,0,0,0,0,0,0,0,0
Other taxes on prod. less other subsidies on prod.,-5550,-56,-13,-1141,19,16,-73,14,8,38,-2,97,210,36,31,15,92,-213,4,0,68,38,70,85,164,23,32,14,-1623,-2,-82,-277,20,-98,120,176,1059,491,-882,18,43,-131,79,-26,76,-26,22,301,3339,121,31,8233,490,123,-2788,43,51,177,7,-200,28,89,22,-1959,-2567,-717,228,-199,-106,7,-67,0,-2330,0,0,0,0,0,0,0,0,0,0,0,0,0
Consumption of fixed capital,10175,453,97,500,339,1174,5518,883,829,1560,1215,789,6838,4409,2933,810,1160,1918,537,734,5199,10008,4561,9659,31224,1941,2264,1759,8698,2827,4139,11393,1211,1367,3800,5059,10498,8622,8300,4620,1421,16086,1836,3892,2009,4416,10179,10670,5946,1982,464,181802,3661,3058,12788,504,402,56132,290,266,2932,35260,1233,25410,21868,11223,4730,5525,2057,244,1555,0,609861,0,0,0,0,0,0,0,0,0,0,0,0,0
Net operating surplus,7342,2218,16,-188,-4,476,4320,776,751,2353,1000,100,8414,5721,4395,797,2869,2095,544,325,9147,7346,7501,15921,23480,2160,3574,-118,19667,530,1035,4474,10454,6718,45078,22307,50611,20620,14543,-173,389,1,1058,11347,6667,3676,8419,19774,13473,13949,3871,134448,18883,8738,3072,3400,9084,-1159,-394,4328,24549,0,0,7250,27707,-11409,7964,3248,-19,428,24476,0,656413,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross value added,18145,3717,184,1196,812,4687,42280,6569,6476,10361,6454,2442,35462,13114,25643,3982,12164,10211,4503,6118,56146,33392,38033,88597,104389,13229,22726,19195,40046,6576,7495,26437,25848,19996,108807,60158,160416,111845,50921,5221,6912,48889,20779,50145,19271,16211,26614,90898,66376,28204,18564,341730,96550,45259,75415,12274,15527,61448,28667,7432,75033,160132,24524,137258,160069,68930,22210,17615,31169,2851,36869,7347,3035165,0,0,0,0,0,0,0,0,0,0,0,0,0
Output,53574,6714,491,2925,1475,14170,193875,22525,25494,44188,17270,56754,165943,39128,79526,10485,38167,91466,42930,19227,137946,78148,96796,246876,398948,50234,54459,54806,117745,15353,11281,62514,74674,48101,231844,93922,290322,208528,108791,24584,25055,143203,53552,103424,47335,37806,68811,156944,141895,82650,36350,457784,180329,81379,110203,25765,34004,86654,38323,35779,131261,255164,36162,179280,235109,105833,34472,29709,43472,4346,54172,7347,6395771,0,0,0,0,0,0,0,0,0,0,0,0,0
Output: internal supplies and services,6367,0,0,1352,0,6975,6436,1022,1445,5665,0,4722,36580,2666,1104,118,975,40418,6080,4581,0,13,245,6,27720,0,0,0,4007,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158623,0,0,0,0,0,0,0,0,0,0,0,0,0
Employed persons (in Germany),544,39,5,15,4,51,903,127,135,130,157,18,278,31,403,58,175,111,53,99,919,265,411,986,586,117,376,309,144,40,39,246,371,257,1924,962,1956,3500,970,16,64,722,640,1964,227,129,107,890,597,149,346,519,1409,800,713,243,243,173,992,106,2116,2243,394,2443,3197,2701,402,253,700,80,715,851,,,,,,,,,,,,,,
Employees (in Germany),301,31,3,15,4,49,868,117,121,128,142,18,273,30,394,56,165,110,52,98,868,257,403,969,583,116,344,293,144,40,39,237,300,247,1530,856,1824,3186,888,12,64,701,626,1729,218,115,104,778,597,149,210,464,1090,639,705,205,133,143,982,89,1924,2243,394,2236,2817,2617,258,225,700,55,463,851,,,,,,,,,,,,,,
