,"Products of agric., hunting and related services","Products of forestry, logging and related services","Fish,aquaculture prod.,support services to fishing",Coal,Crude petroleum and natural gas,"Metal ores, other mining and quarr. prod.,services","Food products, beverages, tobacco products","Textiles,wearing apparel,leather,leather products","Wood,cork,exc.furn.,art.of straw and plaiting mat.",Paper and paper products,"Printing services, rec. sound,image,data carriers",Coke and refined petroleum products,Chemicals and chemical products,Pharmaceutical products,Rubber and plastics products,Glass and glassware,"Ceramic products, processed stone and clay","Pig iron,steel,products of the first proc.of steel",Non-ferrous metals and semi-finished products,Foundry products,Metal products,"Computer, electronic and optical products",Electrical equipment,Machinery,"Motor vehicles, trailers and semi-trailers",Other transport equipment,Furniture and other manufactured goods n.e.c.,"Repair,maintenance,install. of machinery a. equip.","Electric current,supply of electr.,steam,air cond.","Manufact. gases,distrib. services of gaseous fuels","Natural water, water treatment and supply services","Sewage, waste disposal, material recovery services",Building construction works,Civil engineering works,Specialised construction works,"Wholesale,ret.trade,repair of motor veh.,motorcyc.","Wholesale trade serv.,exc. motor veh. a. motorcyc.","Retail trade serv.,exc. motor veh. and motorcycles",Land transp.serv. a. transport serv. via pipelines,Water transport services,Air transport services,Warehousing and other services for transportation,Postal and courier services,Accommodation and food services,Publishing services,"Audio-visual media, music publishing, broadcasting",Telecommunication services,"Computer programming, consultancy, inform.services",Financial services,Insurance and pension funding services,Services related to financial a.insurance services,Real estate services,"Legal, accounting, management consultancy services","Architectural a. engineering serv., techn. testing",Scientific research and development services,Advertising and market research services,"Other prof.,scientific,techn.,veterinary services",Rental and leasing services,Employment services,"Travel agency, tour operator,other reserv.services","Invest., security, admin., support services n.e.c.",Public administration and defence services,Compulsory social security services,Education services,Human health services,Residential care and social work services,"Arts, culture and gambling services","Sporting, amusement and recreation services",Services of membership organisations,Repair of data processing equipment and durables,Other personal service activities,"Goods a. services of private households, non-spec.",Input of all homogeneous branches,Household final consumption exp.(domestic concept),Final consumption expenditure of NPISHs,Government final consumption expenditure,"Fixed asset investments in machinery,equipment etc",Fixed asset investments in construction,Changes in invent. a. acq. less disp. of valuables,Exports,Exports in EU countries,Exports in member states of the EMU,Exports in non-member states of the EMU,Exports in third countries,"Final uses of products, total",Total uses of products
"Printing services, rec. sound,image,data carriers",16,3,1,5,2,22,132,89,33,90,1614,15,78,54,46,11,22,33,27,16,86,100,97,172,311,25,154,35,8,27,8,60,10,9,55,198,523,1717,70,3,10,39,300,31,3428,592,381,0,242,42,6,6,609,155,147,200,340,42,137,294,676,446,76,141,61,393,72,13,195,7,21,0,15079,2283,0,0,1,0,-1733,1640,1060,692,368,580,2191,17270
Coke and refined petroleum products,741,104,12,0,4,191,100,12,23,27,11,4630,3284,0,21,10,352,1034,37,49,54,34,55,74,228,35,24,14,589,0,0,256,329,657,989,133,2048,389,1293,120,12,1383,356,155,33,53,45,35,3,1,1,2,145,38,83,26,81,36,6,20,238,440,3,28,155,73,69,41,68,3,151,0,21746,18955,0,198,0,0,292,15563,10349,7159,3190,5214,35008,56754
Chemicals and chemical products,826,7,2,15,0,277,48,609,989,440,198,170,40890,2090,2789,69,555,233,270,339,421,127,85,341,728,180,259,86,3,11,16,169,42,32,1345,201,0,67,13,13,5,0,4,112,36,5,0,0,0,0,0,5,22,3,114,0,12,2,2,0,1002,345,0,30,213,73,16,29,0,21,188,0,57194,5664,0,184,0,0,3158,99743,61029,42449,18580,38714,108749,165943
Pharmaceutical products,6,0,0,0,0,0,0,0,0,0,0,0,0,4933,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,8,0,0,0,0,0,0,0,293,255,0,0,0,0,0,0,5545,10972,0,9879,0,0,-38301,51033,24554,19110,5444,26479,33583,39128
Rubber and plastics products,45,7,0,4,1,4,1226,166,105,331,48,38,596,356,8079,11,47,19,0,0,427,536,1297,4619,9346,226,851,664,1,0,7,146,1119,833,7355,1096,270,534,115,0,6,122,14,45,0,0,40,0,3,0,0,7,0,80,164,40,64,0,0,0,434,105,0,4,185,188,1,0,0,64,8,0,42099,2408,0,0,594,765,-2242,35902,25325,15088,10237,10577,37427,79526
Glass and glassware,30,0,0,0,0,0,208,0,416,0,0,0,12,173,233,1069,0,3,0,0,331,287,110,61,411,11,121,78,0,0,0,2,4,2,132,63,0,2,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,4,24,3,3,0,0,0,166,10,0,12,24,15,0,3,0,0,0,0,4044,1644,0,0,45,0,-469,5221,3414,2271,1143,1807,6441,10485
"Ceramic products, processed stone and clay",175,24,0,0,0,0,0,93,9,0,0,4,32,0,0,0,4782,222,15,82,36,46,143,120,93,21,22,98,113,0,25,0,8109,5336,6166,0,0,7,13,3,0,66,10,16,0,0,139,0,0,0,0,13,0,0,12,19,0,14,0,0,169,319,0,1,10,18,23,7,6,0,73,0,26704,2915,0,0,23,3886,-2950,7589,4902,3200,1702,2687,11463,38167
"Pig iron,steel,products of the first proc.of steel",17,2,0,13,5,52,66,0,22,20,0,8,8,6,79,1,15,49202,0,631,5377,100,806,2755,4098,250,50,920,23,98,39,0,325,244,679,20,0,59,85,0,0,25,0,0,0,0,11,0,0,0,0,0,0,14,68,2,7,0,0,0,19,6,0,1,0,0,0,0,0,0,0,0,66228,0,0,0,257,798,-74,24257,17698,11058,6640,6559,25238,91466
Non-ferrous metals and semi-finished products,0,0,0,0,0,0,2,2,0,14,7,10,1,10,37,0,0,132,12440,948,2062,621,855,374,1104,148,365,700,10,0,0,0,60,33,122,4,52,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,31,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,20166,0,0,0,0,0,443,22321,14877,8719,6158,7444,22764,42930
Foundry products,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,23,0,1445,1159,170,785,4730,8956,321,51,693,0,4,23,0,0,0,94,457,0,0,15,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,10,0,0,0,0,0,0,0,42,0,0,19069,0,0,0,513,101,-675,219,121,95,26,98,158,19227
Metal products,88,11,8,59,15,110,526,107,74,8,10,193,374,150,652,76,55,294,132,0,24029,1154,2105,12223,14421,4283,1479,3450,11,113,73,575,1368,573,8219,1359,0,118,144,0,0,212,18,18,9,14,30,0,4,0,0,29,0,0,299,29,3,0,0,0,572,172,5,30,32,31,6,0,19,39,1,0,80211,4795,0,0,4437,10822,2385,35296,23418,13961,9457,11878,57735,137946
"Computer, electronic and optical products",0,0,0,0,0,4,38,5,0,8,104,7,27,144,6,0,0,33,0,17,74,2655,1044,303,400,100,956,1084,693,73,33,1,5,0,28,22,42,40,21,10,1,32,42,10,19,241,1203,90,27,1,4,1,35,21,199,12,22,6,0,4,241,277,12,101,155,142,15,12,8,33,13,0,10956,7039,0,359,7615,128,-10816,62867,30270,18878,11392,32597,67192,78148
Electrical equipment,17,2,0,0,1,8,2,7,0,0,5,7,53,0,15,1,0,82,0,27,139,255,9870,2354,2803,256,344,832,1828,0,18,0,22,18,6006,65,105,38,76,1,1,107,4,337,5,5,89,1,4,0,1,3,0,0,101,13,1,0,0,0,153,35,0,5,7,26,11,1,2,29,81,0,26279,6436,0,0,5270,2301,1347,55163,30864,18075,12789,24299,70517,96796
Machinery,505,149,0,3,11,40,714,58,0,13,70,15,133,30,102,34,82,102,0,20,1075,149,451,35843,2525,804,287,1764,23,25,195,3,0,17,2368,211,40,112,14,0,0,14,17,94,4,2,50,0,0,0,0,0,0,0,122,2,6,0,0,0,33,33,0,0,81,22,5,0,0,29,5,0,48506,1606,0,0,38879,1441,2688,153756,76219,45966,30253,77537,198370,246876
"Motor vehicles, trailers and semi-trailers",197,4,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,29,0,27,4368,98671,0,2,92,33,22,22,0,0,0,0,2842,0,0,975,0,0,550,0,0,0,0,0,0,1,0,0,0,0,0,673,0,0,0,0,0,0,60,0,0,0,0,0,1,0,0,0,0,108573,45597,0,0,21092,0,31766,191920,106802,61580,45222,85118,290375,398948
Other transport equipment,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,9485,0,2265,3,0,1,1,0,0,0,3,0,1,11,0,343,0,0,0,0,0,0,1,0,0,0,0,0,6,36,0,0,0,0,0,38,2920,0,0,0,0,1,3,0,0,0,0,15128,2374,0,417,8321,71,-9401,33324,21909,16785,5124,11415,35106,50234
Furniture and other manufactured goods n.e.c.,1,0,0,0,1,0,0,15,4,0,3,0,1,0,0,0,0,2,0,1,7,281,0,0,17,0,1190,14,1,0,0,0,13,2,8,0,3,0,3,0,0,1,0,4,0,0,3,0,1,0,0,1,0,0,54,0,15,0,0,0,1,7,0,34,2082,224,12,1,52,0,0,0,4059,18030,0,780,8829,99,-2696,25358,15690,10982,4708,9668,50400,54459
"Repair,maintenance,install. of machinery a. equip.",54,8,1,393,33,113,833,235,320,589,96,140,1677,0,360,168,686,1983,482,558,2422,834,932,4135,5005,491,350,1078,2080,126,61,6,0,4,152,18,5,170,1142,522,688,50,23,41,3,70,632,0,3,0,0,58,0,15,1006,4,158,0,107,0,102,347,1,50,239,221,6,1,0,0,8,0,32095,338,0,0,15642,767,-161,6125,2700,1645,1055,3425,22711,54806
"Electric current,supply of electr.,steam,air cond.",797,8,13,150,37,362,1743,322,338,1137,207,1171,2837,53,1595,332,1108,1984,833,643,1514,472,531,1353,1516,124,257,230,24950,833,1040,0,262,0,463,910,2213,4112,2395,0,10,565,507,2219,192,194,797,229,636,147,51,957,424,235,878,63,280,85,31,66,804,1822,24,1031,2117,1070,262,245,215,42,859,0,75902,31983,0,388,0,0,5128,4344,3196,2130,1066,1148,41843,117745
"Manufact. gases,distrib. services of gaseous fuels",0,0,0,3,0,214,949,95,66,628,84,92,685,20,196,223,303,1235,128,123,405,57,115,92,166,21,58,37,1932,2158,0,7,7,10,80,204,213,503,22,0,0,2,9,248,27,27,20,18,83,50,11,8,89,37,76,20,23,8,5,2,75,318,6,190,198,91,30,6,45,12,1,0,12866,7380,0,0,0,0,-4893,0,0,0,0,0,2487,15353
"Natural water, water treatment and supply services",132,1,1,24,0,48,314,33,8,121,13,15,223,4,51,25,79,91,30,32,135,49,56,127,121,5,25,24,11,0,5,26,24,20,83,50,52,80,41,1,1,37,31,307,26,7,30,18,43,26,1,23,89,34,80,15,25,6,4,2,80,117,32,197,203,115,31,161,27,5,224,0,4177,7106,0,0,0,0,-2,0,0,0,0,0,7104,11281
"Sewage, waste disposal, material recovery services",867,16,4,39,0,415,2357,353,307,2920,23,32,1766,5,2292,512,548,1643,1197,710,1202,81,112,203,348,8,199,41,129,9,0,9271,16,21,235,226,356,1180,80,0,0,145,64,1451,85,42,111,116,289,95,12,57,241,95,331,35,66,48,22,0,765,2509,86,248,824,493,105,234,86,29,390,0,38797,13838,0,1044,0,0,138,8697,6915,5699,1216,1782,23717,62514
Building construction works,16,1,1,3,0,4,13,4,2,1,3,2,25,0,3,2,0,3,1,3,8,0,7,29,25,0,1,3,10,28,24,7,2148,1317,854,15,14,40,25,0,0,63,16,6,7,14,49,5,0,0,1,2143,12,3,29,3,9,5,0,1,37,41,5,160,49,34,8,0,11,2,4,0,7359,0,0,0,0,63287,3600,428,279,186,93,149,67315,74674
Civil engineering works,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1093,241,0,1392,0,0,0,0,2,0,0,0,0,1348,0,0,0,0,0,0,0,0,0,6615,0,0,43,0,0,0,0,0,0,0,0,0,1087,0,0,0,0,0,0,0,11821,0,0,0,0,36005,0,275,180,120,60,95,36280,48101
Specialised construction works,793,136,7,126,0,205,1100,232,175,254,265,271,900,111,374,66,306,942,144,179,638,291,362,736,830,45,177,134,2122,299,395,2448,6152,2063,14899,732,1331,2153,975,0,24,2103,801,1800,522,562,1353,456,798,451,23,33819,1707,692,784,324,763,407,413,90,2416,7251,917,2446,2384,1207,627,150,775,29,370,0,109832,5446,0,0,0,115233,0,1333,868,581,287,465,122012,231844
"Wholesale,ret.trade,repair of motor veh.,motorcyc.",110,19,0,7,0,77,276,25,96,64,38,28,59,0,0,10,173,35,11,0,138,64,55,1301,21861,790,79,53,81,35,6,432,131,93,499,2552,56,2329,1869,0,2,3097,3893,254,90,44,213,0,93,65,55,21,221,97,573,71,129,837,4,20,196,880,43,152,180,126,77,12,14,13,14,0,44938,28980,0,0,6354,0,0,13650,6392,4213,2179,7258,48984,93922
"Wholesale trade serv.,exc. motor veh. a. motorcyc.",3189,395,35,65,18,459,10470,1548,1501,1375,809,440,4915,1074,1694,502,2182,2531,715,650,4421,4472,4047,7699,8251,1373,3523,3410,1999,95,173,1492,2229,2092,14669,1477,5004,2599,960,345,32,852,319,5104,525,243,763,375,166,96,73,200,597,574,1124,216,564,94,54,28,2347,3052,115,883,6431,2329,451,130,412,170,745,0,133961,59183,0,3528,13673,0,0,79977,49174,32042,17132,30803,156361,290322
"Retail trade serv.,exc. motor veh. and motorcycles",1648,55,19,23,6,133,5430,512,805,258,218,120,1368,362,709,174,691,238,43,142,1102,3428,1786,1994,2970,2064,1710,1125,608,50,60,119,561,377,3852,583,816,954,304,154,39,183,125,5480,328,85,341,114,85,50,56,129,442,379,468,159,629,61,58,11,1037,1974,71,711,8983,3810,361,98,224,85,437,0,64584,133109,0,7185,3650,0,0,0,0,0,0,0,143944,208528
Land transp.serv. a. transport serv. via pipelines,119,26,0,20,20,239,2060,138,415,705,50,3986,1413,0,652,50,1642,2311,285,96,373,435,289,881,2791,36,620,169,826,594,25,11,103,93,201,193,13894,2302,6418,0,0,14893,0,7,404,71,13,34,96,25,6,0,21,3,1028,1,36,0,0,5625,152,1855,7,4431,14,0,15,14,760,5,7,0,74004,29562,0,395,0,0,0,4830,3804,2448,1356,1026,34787,108791
Water transport services,1,0,2,1,1,30,23,0,0,12,0,44,53,0,15,0,14,43,6,0,4,8,6,0,0,0,8,0,72,0,0,0,0,0,0,0,1042,0,0,106,0,63,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,104,0,1,0,0,0,0,0,0,0,0,0,0,1665,3643,0,0,0,0,-7170,26446,6694,4353,2341,19752,22919,24584
Air transport services,3,1,0,2,2,10,24,9,8,13,4,7,65,7,14,3,6,9,0,1,145,826,230,784,398,131,120,184,0,4,1,6,5,3,12,0,113,42,2,1,1405,8,751,3,35,50,24,30,92,27,2,7,72,62,174,8,32,7,6,3428,38,184,5,5,6,6,26,7,10,3,7,0,9715,5389,0,0,0,0,0,9951,4158,2759,1399,5793,15340,25055
Warehousing and other services for transportation,96,3,10,0,0,75,7110,118,173,25,36,458,387,0,585,31,583,257,112,77,422,706,97,2246,4067,9,220,312,53,55,44,0,136,63,598,56,37641,2019,16094,3310,3635,32854,10429,289,0,5,126,0,13,0,0,10,121,34,835,22,195,196,5,0,94,173,0,0,0,0,0,0,0,26,0,0,127346,4262,0,2659,0,0,0,8936,5241,3468,1773,3695,15857,143203
Postal and courier services,0,1,0,6,0,91,301,125,0,23,190,63,1388,466,203,4,19,11,13,31,464,1098,1173,2315,1020,6,457,341,290,175,43,0,6,9,135,448,5614,13768,2059,0,126,534,2977,1179,559,196,2518,0,700,657,455,94,813,312,585,222,332,65,1215,119,478,1463,220,12,383,365,401,1,111,31,73,0,49552,2816,0,0,0,0,0,1184,871,521,350,313,4000,53552
Accommodation and food services,0,1,0,0,0,2,0,0,0,0,0,18,246,9,0,0,0,0,0,0,251,0,45,432,19,0,0,51,0,0,0,0,331,212,330,0,1202,293,862,40,652,927,21,65,167,534,138,93,188,25,350,73,160,54,47,39,40,0,4,178,139,900,0,0,109,46,196,578,439,0,69,0,10575,81628,0,0,0,0,-3526,14747,9374,6056,3318,5373,92849,103424
Publishing services,11,5,0,4,0,13,131,26,2,21,34,38,141,75,34,11,19,32,26,9,63,100,91,78,222,12,27,23,38,15,10,163,17,8,107,98,301,1061,142,12,14,58,59,546,1377,83,135,241,218,130,195,302,1107,905,366,382,877,178,192,34,1383,1555,209,945,521,595,753,105,493,14,63,0,17255,9542,0,0,1223,0,0,19315,8000,5108,2892,11315,30080,47335
"Audio-visual media, music publishing, broadcasting",0,0,0,0,0,2,155,0,0,0,0,1,0,0,0,0,0,0,1,0,0,68,0,0,0,76,0,0,17,1,1,0,0,0,0,0,13,111,53,0,0,0,0,383,80,7380,0,104,31,42,1,10,149,51,22,4089,38,9,22,0,68,418,0,45,124,62,250,57,88,0,12,0,14034,8787,0,8225,3884,0,0,2876,1856,1045,811,1020,23772,37806
Telecommunication services,74,12,0,76,15,49,234,14,38,73,47,38,260,30,190,50,141,49,49,56,309,443,317,537,636,122,91,186,84,92,25,186,57,23,390,113,1039,1085,273,14,51,303,1935,1027,2111,1116,16145,851,899,539,244,570,581,546,337,778,500,155,742,1274,443,1294,400,155,258,401,532,154,90,42,312,0,42302,22275,0,0,0,0,0,4234,3091,1543,1548,1143,26509,68811
"Computer programming, consultancy, inform.services",17,2,0,13,15,82,478,100,76,223,241,86,1431,569,332,69,249,285,187,176,1278,999,991,2542,1953,385,290,615,656,69,0,1698,63,34,727,444,4007,2456,1320,0,382,2314,1740,283,3774,918,3946,46693,5485,1676,629,616,2851,1217,2573,909,1002,877,713,532,1459,2510,2575,2121,2042,1029,328,101,166,23,345,0,116987,216,0,0,21137,0,0,18604,10277,6390,3887,8327,39957,156944
Financial services,648,52,5,21,16,99,1073,127,175,203,144,279,569,115,392,59,203,221,148,92,734,394,478,1120,1497,205,291,309,467,117,50,334,764,402,2452,1166,2224,2747,905,105,119,871,372,1263,372,216,580,746,19030,1762,1174,22117,1510,855,985,331,777,759,372,184,995,1482,823,369,2368,602,256,133,962,71,791,0,84649,38655,0,0,0,0,0,18591,13335,8869,4466,5256,57246,141895
Insurance and pension funding services,466,15,1,13,7,112,504,22,159,160,110,75,647,2,286,44,184,63,34,34,148,120,102,325,392,44,140,73,918,178,82,563,165,110,718,328,489,1572,3191,36,87,1516,93,262,125,98,105,82,1050,6259,1719,114,345,147,352,50,93,1336,56,16,350,2028,23,1456,411,309,93,18,261,16,65,0,31567,41577,0,0,0,0,0,9506,4903,3148,1755,4603,51083,82650
Services related to financial a.insurance services,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7746,19669,3401,0,0,0,16,0,0,29,0,0,0,5,0,0,0,0,0,0,0,0,0,0,30965,949,0,0,0,0,0,4436,3245,2122,1123,1191,5385,36350
Real estate services,407,13,1,6,2,27,2901,283,424,426,460,150,988,0,830,133,607,234,259,123,1753,696,814,2373,2904,308,694,612,1002,161,53,732,12565,4500,6207,5289,9551,20294,670,0,49,1916,626,6715,839,935,5013,223,5746,2539,1148,16792,6926,4580,1410,1056,1313,779,2792,345,4930,5595,769,590,3374,2297,247,326,852,39,778,0,160991,289249,0,590,0,5553,0,1401,954,571,383,447,296793,457784
"Legal, accounting, management consultancy services",101,4,1,26,55,114,3752,106,178,451,340,929,2173,407,898,291,391,660,169,174,784,788,1741,5395,5012,289,500,920,89,71,8,625,481,263,1472,1512,4921,4908,776,0,22,172,229,384,976,462,647,1597,8109,3981,2183,13454,42718,13122,1548,847,4105,1143,516,484,14317,1898,636,171,1181,801,232,99,418,19,272,0,158518,1492,0,0,0,2309,0,18010,9668,6179,3489,8342,21811,180329
"Architectural a. engineering serv., techn. testing",273,8,0,32,37,364,741,0,216,333,13,107,1835,578,1252,175,929,335,135,149,1061,1115,1830,1919,1580,762,110,916,1807,364,369,3414,824,458,1654,25,349,479,1866,33,144,1602,59,125,127,27,293,440,574,116,97,1429,1099,2334,980,160,417,509,62,6,815,1471,14,250,157,72,18,24,254,29,40,0,42191,4309,0,0,0,23605,0,11274,5137,3145,1992,6137,39188,81379
Scientific research and development services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,875,0,2192,6714,77649,0,-114,22887,10018,6432,3586,12869,109328,110203
Advertising and market research services,4,3,1,3,1,96,3335,90,18,74,17,254,1247,663,268,35,104,15,14,16,156,400,252,300,1054,26,424,103,85,40,69,27,1,1,75,1062,1001,1742,165,0,33,27,217,73,616,179,195,0,338,370,10,13,211,91,362,115,39,251,180,178,122,171,87,22,37,29,83,112,9,9,33,0,17453,0,0,0,0,0,7,8305,5025,3873,1152,3280,8312,25765
"Other prof.,scientific,techn.,veterinary services",1081,0,0,8,24,28,352,985,16,73,57,109,599,65,165,22,149,67,15,16,233,395,352,722,1059,62,897,146,223,47,10,274,71,41,110,213,573,592,263,0,7,40,57,208,1668,287,373,0,1994,1377,1135,1031,2664,822,361,318,706,238,105,11,1036,767,136,51,360,203,290,351,139,9,47,0,26905,4939,0,0,61,0,2,2097,1121,722,399,976,7099,34004
