"year","full_renovations_prio","full_renovations_rand","full_renovations_prio_partial","full_renovations_rand_partial","full_renovations_prio_m2","full_renovations_rand_m2","sqm_prio","sqm_rand","sqm_prio_renovated","sqm_rand_renovated","share_flats_prio","share_flats_rand","rate_renovation"
2023,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.5
2024,0.0149924493777568,0.0148294536944814,0.0145571819333525,0.0110363245061456,0.0304691217050021,0.0101884314989511,441.260278170357,200.179333569772,411.464018803077,139.099861231706,0.116299451368071,0.138754136707375,1.5
2025,0.0150071656345297,0.0146106150725584,0.0142289006099593,0.0109297262563482,0.0230432234883643,0.0100696967890641,344.218521535273,201.194121110092,310.877345659286,139.537974200942,0.0979739786716142,0.140023022410873,1.5
2026,0.014999938901293,0.0150210278228295,0.0139387099042891,0.0113161656067438,0.020680210723328,0.0101882154430101,317.993712307879,197.123932918831,279.132232320574,137.32290707105,0.103539799752973,0.132960693494981,1.5
2027,0.0149980993691963,0.0148343153150225,0.014021402950664,0.0109437088458252,0.0187692464645721,0.0105200687000945,285.947685419943,208.806476454994,253.369963965232,143.580542201572,0.093828025756711,0.149957705372519,1.5
2028,0.0150002673891674,0.0148825373349839,0.0140211278174455,0.0111037468582738,0.0178895771305925,0.0101928516481818,274.17255580249,200.690917859795,241.460220769179,138.66384601638,0.100559295384168,0.139406968582661,1.5
2029,0.0149962598370997,0.0150132098114189,0.0137793024757787,0.0113334846401687,0.0169672032445944,0.0103996619026894,266.455222981569,200.435592257738,229.071903429066,140.245903815247,0.0961176192270265,0.136705758795723,1.5
2030,0.0150054574975828,0.014912429731554,0.0137344228422899,0.0112383919669291,0.0162351367848034,0.0103919447792221,256.301218570043,201.160652683418,219.054021250376,141.088929786011,0.0966716578663913,0.132078630400108,1.5
2031,0.0150002673891674,0.0153834156458637,0.0138728084623345,0.0114874601940884,0.0157835690586281,0.0105416193117843,247.517711520665,199.332106773899,213.034888505255,138.739163993719,0.100559295384168,0.137003267066681,1.5
2032,0.0149962598370997,0.0151840892036799,0.0137568091469904,0.0115036916665483,0.014984456364749,0.0104354697844376,238.344312845016,199.767133163293,202.303107462121,139.145055249473,0.0961176192270265,0.138715218435359,1.5
2033,0.0149955371637761,0.0146214551724136,0.0136368317596737,0.0107257006978486,0.0146236221709668,0.0100647077046112,234.399142572134,204.038987587042,197.441048817138,139.36543953334,0.0978747081064246,0.149894184411179,1.5
2034,0.0149995447158437,0.0153863720367333,0.0136826186839072,0.011620123463031,0.0143455432748147,0.0108141919036409,229.305574132625,202.943136603178,193.634813693627,142.299168352386,0.102316128806193,0.134244235695981,1.5
2035,0.0150009243649162,0.0151216765075446,0.0136457023402304,0.0114400286814319,0.0141658274673495,0.0106693932849327,227.053909460756,203.317550736393,191.191440705726,142.851333878527,0.106598695764517,0.141112477245173,1.5
2036,0.0150049976145587,0.0149104588043076,0.0135682401763628,0.0111492708177754,0.0137399865945373,0.0102610640513201,221.849226553252,200.247059634627,185.393668169378,139.330408531924,0.103242190065454,0.138000317242103,1.5
2037,0.0149989534376698,0.015442083580231,0.013259512979138,0.0116997127968427,0.0131346259069302,0.0107992086525156,219.083968582603,200.810136250801,177.296952280037,141.589338477421,0.100480501789287,0.135036247915314,1.5
2038,0.015003749360636,0.014887398955525,0.0132865181403771,0.0109246173468215,0.013094003697972,0.0101527333243799,218.973230394863,201.880033258641,176.692118458319,138.072971429193,0.107366798612812,0.138478850863833,1.5
2039,0.01499343484138,0.0145666633949642,0.0134705138029638,0.0107880151202828,0.0128462646911378,0.0102358513868324,210.264573770672,204.426975523998,173.468350446603,142.268386535885,0.107353024945335,0.147932329979293,1.5
2040,0.0150015156430901,0.0151342247443466,0.0131734755398201,0.0112405455907895,0.0126464005090761,0.0103240388079437,214.427091157299,200.253449914384,170.677515226221,138.11281227425,0.120433385010201,0.140040458061654,1.5
2041,0.0149990191352447,0.0158003981536227,0.0131152726907966,0.0117494030748993,0.0123637557748376,0.0108233916043263,212.660533918004,201.523170844239,166.890677486074,138.688311367578,0.116686523232179,0.130726563604455,1.5
2042,0.0149997418085684,0.0152315228527428,0.0131201481481655,0.0113298776805618,0.0121331722024631,0.0105801405148731,207.458209211673,202.340342457768,163.770282056432,140.634744437492,0.11492893589996,0.137851908403526,1.5
2043,0.015004866219409,0.0150124871380952,0.0130602528555355,0.0112582721705081,0.0119679021181059,0.0106489703612755,206.553714648544,203.713656309324,161.484342661812,143.614896338836,0.118830261873171,0.138462817657067,1.5
2044,0.0149980993691964,0.0150170202707619,0.013011544321175,0.0110795438070927,0.0117277267519948,0.0103382571143165,203.480508777888,203.046894533876,158.315024002468,139.382445827639,0.117832581365804,0.140520960022394,1.5
2045,0.0149984278570708,0.0150190568955831,0.0131177174680138,0.0110648677144809,0.0115645713169514,0.0101352006012287,198.317166103572,199.626754768874,156.109135734545,136.62626798527,0.114851398409949,0.138839678227886,1.5
2046,0.0150021069212641,0.0151702270153804,0.0128600902061662,0.0112427714950301,0.0112579610678604,0.0105587748965027,198.483182887812,204.290886416626,151.932962178149,140.917837674433,0.122267912117745,0.139708111385383,1.5
2047,0.0150025011067133,0.0158831114003958,0.0127608808579404,0.0120677204180776,0.0110117823438218,0.0110161588056161,198.794759041374,200.059808950336,148.606727399466,140.42328390776,0.123490849853516,0.131286683956464,1.5
