"year","full_renovations_prio","full_renovations_rand","full_renovations_prio_partial","full_renovations_rand_partial","full_renovations_prio_m2","full_renovations_rand_m2","sqm_prio","sqm_rand","sqm_prio_renovated","sqm_rand_renovated","share_flats_prio","share_flats_rand","rate_renovation"
2023,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,2.5
2024,0.0249949708507051,0.0246343568621923,0.0240467692719919,0.0182950452149506,0.0460948589618751,0.0169255015551355,404.497380247128,200.533467782181,373.374260112204,139.105671706712,0.108764505657703,0.138465887573817,2.5
2025,0.024997204568251,0.0249674435668302,0.0233614884205001,0.0188405920280373,0.0345906465007858,0.0172519710460307,316.57643818299,200.706117519224,280.163628751243,139.897245256669,0.100922759922102,0.139144712606186,2.5
2026,0.0250057452529853,0.0245761488108491,0.0233590655232178,0.018194034830349,0.0301658740491983,0.0169817914781354,277.08073358621,203.542208917298,244.242158876878,139.898866229174,0.0976304388377893,0.143017536355872,2.5
2027,0.0249987813100481,0.0248707367366077,0.0229555409244813,0.0188393200359938,0.0278548206903951,0.0173537859496047,262.831536714914,200.929660109232,225.593222976342,141.27005201392,0.0966589840557365,0.134349806109414,2.5
2028,0.0249949051531302,0.0254152382372074,0.0230214664257139,0.0189924440534053,0.026248729134308,0.0173688604874178,248.163868525572,199.77650001155,212.618626033532,138.363538742451,0.0990395685155121,0.13731349456641,2.5
2029,0.0250000952615457,0.0248286245911102,0.0228031673368717,0.0184569650761845,0.0244904377990385,0.0171107570457221,234.818884941452,202.080352417231,198.335020027346,139.527907752556,0.0967064617260536,0.144844320139301,2.5
2030,0.0249997010760964,0.0255555025595746,0.0227672684695747,0.0192640263266152,0.0237635454436235,0.0179768847004245,228.239522271762,203.258485354538,192.451340198385,142.42116243503,0.103172705221971,0.13676549601916,2.5
2031,0.0250045626966375,0.0248506332786948,0.022574448033373,0.0187330098063568,0.0228492323398467,0.0173354272547932,222.024417139759,201.836811559803,185.010709782448,141.2347639775,0.102627160727378,0.140168879442086,2.5
2032,0.0250039057208887,0.0253418540460674,0.0221008758170676,0.0188367169729308,0.0218672091581337,0.0173842792615715,219.495759262731,200.422847192816,177.063899861206,138.887392260235,0.10620324705524,0.135170518620307,2.5
2033,0.0249937882943572,0.0245597244171292,0.0222380436331344,0.0182684912067651,0.0213683030472875,0.0170546118864645,213.034263576342,202.636794179397,173.094180320985,140.592732052315,0.11376390834751,0.146109194018685,2.5
2034,0.0249987156124732,0.0262315963026576,0.0219269017178741,0.0193656674353855,0.0205818525475071,0.017866826413017,210.962653229739,200.613699381157,166.690667476809,137.900936995904,0.115738794045922,0.130535616788315,2.5
2035,0.0250060737408596,0.0249539755639799,0.0217747176862729,0.0187319549948912,0.0200073397008259,0.0176909543757695,206.822582112459,204.124780847564,161.990056761288,143.534412532671,0.117438732187151,0.140483530833462,2.5
2036,0.0250011464227438,0.0250158626795161,0.0217629458515943,0.0184395519476988,0.0194383715881127,0.0170663172557775,201.217852244616,201.86466955198,157.414406194418,138.123905477179,0.115464762750662,0.140451134928172,2.5
2037,0.0249974016609756,0.0255943298263284,0.0214871226946133,0.0190954838801463,0.0188314208163556,0.0176826994316873,199.191728479452,201.600107825846,152.522086932155,139.877970273096,0.122893516815078,0.137020057600801,2.5
2038,0.0249943138749564,0.0252262920118546,0.0212275602279989,0.0189363290782823,0.0180943809783014,0.0175106913785765,195.651459295055,201.53097608805,146.57065544854,140.538202387728,0.119544217955294,0.13370627330876,2.5
