"year","sum_saved_kw_direct_prio","sum_saved_ghg_direct_prio","sum_saved_kw_prio","sum_saved_ghg_old_prio","sum_saved_ghg_neutral_prio","sum_saved_ghg_decarb_prio","sum_saved_kw_direct_rand","sum_saved_ghg_direct_rand","sum_saved_kw_rand","sum_saved_ghg_old_rand","sum_saved_ghg_neutral_rand","sum_saved_ghg_decarb_rand","cum_saved_kw_direct_prio","cum_saved_ghg_direct_prio","cum_saved_kw_prio","cum_saved_ghg_old_prio","cum_saved_ghg_neutral_prio","cum_saved_ghg_decarb_prio","cum_saved_kw_direct_rand","cum_saved_ghg_direct_rand","cum_saved_kw_rand","cum_saved_ghg_old_rand","cum_saved_ghg_neutral_rand","cum_saved_ghg_decarb_rand","remain_kw_direct_prio","remain_ghg_direct_prio","remain_kw_prio","remain_ghg_old_prio","remain_ghg_neutral_prio","remain_ghg_decarb_prio","remain_kw_direct_rand","remain_ghg_direct_rand","remain_kw_rand","remain_ghg_old_rand","remain_ghg_neutral_rand","remain_ghg_decarb_rand","relative_kw_direct_prio","relative_ghg_direct_prio","relative_kw_prio","relative_ghg_old_prio","relative_ghg_neutral_prio","relative_ghg_decarb_prio","relative_kw_direct_rand","relative_ghg_direct_rand","relative_kw_rand","relative_ghg_old_rand","relative_ghg_neutral_rand","relative_ghg_decarb_rand"
2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3023381249.48806,0.000677843714824238,3385687526.54006,0.00078088306386573,0.00078088306386573,0.00078088306386573,3023381249.48806,0.000677843714824238,3385687526.54006,0.00078088306386573,0.00078088306386573,0.00078088306386573,1,1,1,1,1,1,1,1,1,1,1,1
2024,197071988.642541,5.99134884046369e-05,218633434.460205,5.99627673005472e-05,6.8632992653944e-05,7.21738568177507e-05,61907363.0632683,2.1542864080398e-05,67867473.9407391,1.83444592182073e-05,2.21189198442596e-05,2.47014240036596e-05,197071988.642541,5.99134884046369e-05,218633434.460205,5.99627673005472e-05,6.8632992653944e-05,7.21738568177507e-05,61907363.0632683,2.1542864080398e-05,67867473.9407391,1.83444592182073e-05,2.21189198442596e-05,2.47014240036596e-05,2826309260.84552,0.000617930226419602,3167054092.07986,0.000720920296565183,0.000712250071211786,0.00070870920704798,2961473886.42479,0.00065630085074384,3317820052.59932,0.000762538604647523,0.000758764144021471,0.000756181639862071,0.934817354352545,0.91161164868192,0.935424213620909,0.923211592010071,0.912108488671557,0.907574052815979,0.979523798702611,0.968218538271785,0.979954596102348,0.9765080585467,0.971674478718029,0.968367320093515
2025,137991519.960199,4.31142992182956e-05,152253599.850033,4.17516570494315e-05,4.83227389990299e-05,5.11768531788731e-05,62784056.0945783,2.19535912281505e-05,68657330.198374,1.86536314828826e-05,2.26380728485093e-05,2.51265348090012e-05,335063508.60274,0.000103027787622933,370887034.310239,0.000101714424349979,0.000116955731652974,0.000123350709996624,124691419.157847,4.34964553085485e-05,136524804.139113,3.69980907010899e-05,4.47569926927689e-05,4.98279588126609e-05,2688317740.88532,0.000574815927201306,3014800492.22982,0.000679168639515752,0.000663927332212756,0.000657532353869106,2898689830.33021,0.00063434725951569,3249162722.40095,0.00074388497316464,0.000736126071172961,0.000731055105053069,0.889175899116436,0.848006575306747,0.890454440522673,0.869744358590074,0.850226318043076,0.842036899371359,0.958757626356597,0.935831144617418,0.959675899483071,0.95262019063657,0.942684129335318,0.936190242664517
2026,121430156.713295,3.82296943158627e-05,132024432.085052,3.59703871731868e-05,4.18472965781656e-05,4.44068976420695e-05,63522056.7790987,2.20447829797621e-05,69480240.4513481,1.88745373850267e-05,2.27602411125091e-05,2.5303831072713e-05,456493665.316035,0.000141257481938795,502911466.395291,0.000137684811523166,0.00015880302823114,0.000167757607638693,188213475.936945,6.55412382883106e-05,206005044.590461,5.58726280861166e-05,6.7517233805278e-05,7.51317898853739e-05,2566887584.17202,0.000536586232885443,2882776060.14477,0.000643198252342565,0.000622080035634591,0.000613125456227037,2835167773.55111,0.000612302476535928,3179682481.9496,0.000725010435779614,0.000713365830060452,0.000705751273980356,0.849012205988467,0.791607595011156,0.851459574324855,0.823680627875879,0.796636608501929,0.785169360943473,0.937747356219526,0.903309218843601,0.939154147281576,0.928449430303276,0.913537331094061,0.903786119379466
2027,110766081.214786,3.51730797350319e-05,119549072.058018,3.22729666700174e-05,3.77673173521498e-05,4.01274520322818e-05,64300069.2215713,2.23467498210508e-05,69814288.9906776,1.88067415445344e-05,2.27047849426737e-05,2.53247013821698e-05,567259746.530821,0.000176430561673827,622460538.453309,0.000169957778193183,0.000196570345583289,0.000207885059670975,252513545.158516,8.78879881093615e-05,275819333.581139,7.4679369630651e-05,9.02220187479518e-05,0.000100456491267544,2456121502.95724,0.000501413153150411,2763226988.08675,0.000610925285672547,0.000584312718282441,0.000572998004194755,2770867704.32954,0.000589955726714877,3109868192.95892,0.000706203694235079,0.000690661045117779,0.000680426572598187,0.812375714565646,0.739717935247693,0.816149442742751,0.782351819295691,0.74827172635788,0.733782086857092,0.916479754182085,0.870341811560279,0.918533730174737,0.904365489423021,0.884461550105452,0.871355269545432
2028,103549513.663473,3.29699801140908e-05,110729109.595503,2.97411916589143e-05,3.49020091667334e-05,3.71010438885474e-05,62874936.8947568,2.19376192262703e-05,68261208.5239598,1.84756164832639e-05,2.2374113115954e-05,2.492729947593e-05,670809260.194294,0.000209400541787918,733189648.048811,0.000199698969852097,0.000231472354750023,0.000244986103559523,315388482.053273,0.000109825607335632,344080542.105098,9.31549861139149e-05,0.000112596131863906,0.000125383790743474,2352571989.29376,0.000468443173036321,2652497878.49125,0.000581184094013633,0.000549410709115708,0.000535896960306208,2707992767.43478,0.000568018107488607,3041606984.43496,0.000687728077751815,0.000668286932001824,0.000655499273122257,0.778126142606765,0.69107843414582,0.783444383954097,0.744265205518102,0.70357616208997,0.686270435490394,0.895683522510872,0.837977980862286,0.898372032443075,0.880705587783202,0.855809227944446,0.839433333176972
2029,97725179.1857547,3.13455192332504e-05,104424285.269258,2.78597392591368e-05,3.27490488971003e-05,3.50141782374841e-05,65495729.4851068,2.27619863679303e-05,71732703.215678,1.95374570799904e-05,2.35660263575446e-05,2.61773186370766e-05,768534439.380049,0.000240746061021168,837613933.318069,0.000227558709111234,0.000264221403647123,0.000280000281797007,380884211.53838,0.000132587593703562,415813245.320777,0.000112692443193905,0.00013616215822145,0.00015156110938055,2254846810.10801,0.00043709765380307,2548073593.22199,0.000553324354754496,0.000516661660218607,0.000500882782068724,2642497037.94968,0.000545256121120676,2969874281.21928,0.000668190620671825,0.00064472090564428,0.00062932195448518,0.745803001354797,0.644835445463129,0.752601524283591,0.708587982450645,0.661637681909625,0.641431227345518,0.874020449255986,0.804397989088176,0.877184990622655,0.855685891513608,0.825630539933361,0.805910620432395
2030,92382859.5733669,2.98820108218835e-05,97180638.8523593,2.57444789521072e-05,3.04797269722154e-05,3.26382352622035e-05,64655099.7373713,2.24681994150302e-05,70340383.6238453,1.9105016490104e-05,2.30904587722105e-05,2.56151106921385e-05,860917298.953416,0.000270628071843052,934794572.170428,0.000253303188063341,0.000294701130619338,0.00031263851705921,445539311.275751,0.000155055793118592,486153628.944622,0.000131797459684009,0.000159252616993661,0.000177176220072689,2162463950.53464,0.000407215642981187,2450892954.36963,0.000527579875802389,0.000486181933246392,0.00046824454680652,2577841938.21231,0.000522787921705646,2899533897.59544,0.000649085604181721,0.00062163044687207,0.000603706843793041,0.715246861738263,0.600751521442927,0.723898155147908,0.675619564843199,0.622605298723688,0.59963465526899,0.852635418920061,0.771251411309763,0.856409185687187,0.831219979299396,0.796060864471452,0.773107872008922
2031,87124960.2736095,2.84739653496806e-05,91800320.9683248,2.44057933089729e-05,2.8977637574155e-05,3.11303702786829e-05,61325584.19418,2.15312124068542e-05,67246696.2983487,1.83685087656648e-05,2.22671917235033e-05,2.47756644029753e-05,948042259.227025,0.000299102037192732,1026594893.13875,0.000277708981372314,0.000323678768193493,0.000343768887337893,506864895.469931,0.000176587005525446,553400325.24297,0.000150165968449674,0.000181519808717164,0.000201951884475664,2075338990.26103,0.000378741677631506,2359092633.40131,0.000503174082493416,0.000457204295672237,0.000437114176527837,2516516354.01813,0.000501256709298792,2832287201.29709,0.000630717095416056,0.000599363255148566,0.000578931179390066,0.686429801273804,0.558744839479277,0.69678392199771,0.644365470039103,0.585496493429971,0.559769057307916,0.832351644187858,0.739487138903052,0.836547135284954,0.807697239960253,0.767545466002864,0.741380119737891
2032,82388864.5270297,2.72813074396286e-05,86786482.0396385,2.31267149687239e-05,2.76712633575093e-05,2.98173752356319e-05,64441509.5793953,2.25620256475456e-05,69983111.1137088,1.9049174968662e-05,2.31117197025178e-05,2.56990409022178e-05,1030431123.75406,0.000326383344632361,1113381375.17839,0.000300835696341038,0.000351350031551003,0.000373586262573525,571306405.049327,0.000199149031172992,623383436.356679,0.000169215143418336,0.000204631528419682,0.000227650925377882,1992950125.734,0.000351460370191878,2272306151.36167,0.000480047367524692,0.000429533032314728,0.000407296801292205,2452074844.43873,0.000478694683651246,2762304090.18338,0.000611667920447394,0.000576251535446048,0.000553232138487848,0.659179230562293,0.518497645556852,0.67115058124806,0.614749364838619,0.550060632879322,0.521584882729943,0.811037259973063,0.70620214244425,0.815876854709704,0.783302838480523,0.737948563762336,0.708469890163957
2033,77212401.7307207,2.59109680896383e-05,81564148.9386218,2.17111521887035e-05,2.60714829231178e-05,2.82213325367568e-05,65390125.1498692,2.27056197646834e-05,71125646.3274462,1.92474090419242e-05,2.32579429222608e-05,2.58187243221648e-05,1107643525.48478,0.000352294312721999,1194945524.11701,0.000322546848529742,0.00037742151447412,0.000401807595110282,636696530.199196,0.000221854650937675,694509082.684126,0.00018846255246026,0.000227889471341943,0.000253469649700047,1915737724.00328,0.000325549402102239,2190742002.42305,0.000458336215335989,0.00040346154939161,0.000379075468755449,2386684719.28886,0.000455989063886563,2691178443.85594,0.00059242051140547,0.000552993592523788,0.000527413414165684,0.633640803430817,0.480272067118971,0.647059713942897,0.58694603141604,0.516673453505688,0.485444602779385,0.78940911593369,0.672705306421258,0.794869113809252,0.758654578155039,0.708164407851561,0.675406393826426
