"year","full_renovations_prio","full_renovations_rand","full_renovations_prio_partial","full_renovations_rand_partial","full_renovations_prio_m2","full_renovations_rand_m2","sqm_prio","sqm_rand","sqm_prio_renovated","sqm_rand_renovated","share_flats_prio","share_flats_rand","rate_renovation"
2023,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,2
2024,0.0199939400557432,0.0194309118390278,0.0193253479174872,0.0144344437552725,0.0385240853393251,0.0132736740319751,420.847327750978,199.514750502983,390.102262990143,138.306466533242,0.113625535186784,0.138894993626654,2
2025,0.0199982760956853,0.0200799381812602,0.0188009504298106,0.015146533853548,0.0289118688948597,0.0138822978644443,327.82100935204,200.274845007578,292.703641194742,139.972753586245,0.0967151666069845,0.1366958729494,2
2026,0.0200054371313472,0.019784561884603,0.0186198970509673,0.0146449476062424,0.0255258481470818,0.0138104405347004,293.401412264665,205.633321462696,258.331077262904,141.327154136963,0.0983882196855234,0.145643641290274,2
2027,0.0199961080757143,0.0200559585664293,0.0185832849961988,0.0149474795437772,0.0236330097027324,0.0137342951384397,274.68946963096,200.572075770753,239.286433676263,138.646040437175,0.100668274380185,0.137907539709839,2
2028,0.0200029406235017,0.0196973155051632,0.0183933837457283,0.0149955873504904,0.0221113881182551,0.0138123424593468,259.482319685995,201.113370738975,223.803400560866,141.972691386083,0.0955759188097331,0.134548292630863,2
2029,0.0200032034138012,0.0204383184522266,0.0184309928559218,0.0152200167651926,0.0211310883976309,0.0139794400440911,249.165718417953,199.532837233386,213.878354723046,138.480662721351,0.099187451145252,0.136420473357188,2
2030,0.0199930202896949,0.0201218532340332,0.018377434006642,0.015139685782393,0.0198454108374474,0.013798193065979,236.126479446784,200.130345181501,200.967674202306,138.834934426959,0.096477709245888,0.141178007052373,2
2031,0.020000641208381,0.0200612800699945,0.0181436693327175,0.0148772622951527,0.0194939493035258,0.0139333581112503,234.79676383221,203.602656940199,197.333324388518,140.618246325173,0.102222149227255,0.141276796416013,2
2032,0.0199986045835597,0.0201304596163422,0.0182008585914425,0.0152725964313142,0.0187800891369068,0.0142522115003931,225.902996951774,203.779070813786,190.126421820902,143.341876959932,0.103480900382384,0.140203843856784,2
2033,0.0200037946919752,0.0198980872939943,0.0180133954788104,0.0149368839885088,0.018101407041306,0.0138287267666441,220.560429741696,201.681922339237,183.208013159673,140.706896156247,0.100563906687728,0.139662037679037,2
2034,0.0200039917846998,0.0201547677190477,0.0176163208133558,0.0150312324301516,0.0176495435183129,0.0138136266100941,222.095525769496,199.955894536879,178.632850739538,138.763240869844,0.110021478820042,0.136775093633572,2
2035,0.0199933487775694,0.0197537497219846,0.0179550688066758,0.0145934996630621,0.0170639303309584,0.0138065040383097,209.971947711908,203.851973959125,172.797735283346,141.507251715642,0.103245225483364,0.142944089504686,2
2036,0.0200047801555985,0.0204992858017146,0.0175409249683952,0.0152435890562936,0.0168657017968511,0.0140598819372334,215.138852416149,201.610455761252,170.692780694293,138.863293855529,0.120854652575713,0.137232593542188,2
2037,0.0200009039986806,0.0206906628373381,0.0175102908986304,0.0153311832727008,0.016282128950685,0.0141025247651309,209.455422251849,200.054622128275,164.818547975777,137.996155202453,0.114834170392095,0.132597527132327,2
2038,0.0199994586520333,0.0199886842497528,0.0174179333672924,0.0150033261877645,0.0159633998569467,0.0142141345860543,206.228480645301,204.260275911325,161.603838066834,143.972894043249,0.117470443503481,0.140409461862334,2
2039,0.0200009696962554,0.0199921005236465,0.0173774412421936,0.0147636964106389,0.0156315985489385,0.0136893328252648,202.600693192349,202.357520118711,158.232926449766,138.633559709876,0.117987123899617,0.142357174545278,2
2040,0.0199986702811347,0.0200399940557336,0.0173013097260708,0.0147173428125587,0.0151236404843173,0.0136372392794355,197.678603133933,201.082848798528,153.108655834751,137.775942763106,0.115635419917541,0.13677163857144,2
2041,0.0200014952768545,0.0210573210027393,0.017071481885031,0.0159738642114838,0.0148068024473724,0.0147218193129636,199.026699627134,201.774256857466,149.87988017461,141.547722057508,0.125210216523017,0.133595824272512,2
2042,0.0199949912169414,0.0194851123383031,0.0169368348087377,0.0145971618961884,0.0143596408503675,0.0135653365485488,193.980600618148,202.077776133245,145.400827881772,140.952303595116,0.119073826429524,0.138980673526913,2
2043,0.0200047144580235,0.0199402651370668,0.0170568422274626,0.0149289411115769,0.014138848142841,0.0139432279208963,188.804115700174,204.105878443002,143.095571132549,141.571853185573,0.117702309053946,0.13877357371605,2
2044,0.0199950569145163,0.0197135428061584,0.0167661392949699,0.0147779767256503,0.0137633011816945,0.0138146101562843,189.367188811996,202.146697116991,139.362037793865,141.879115609086,0.122227698373581,0.139369803209306,2
2045,0.0200016923695791,0.0204462678587871,0.016563450612558,0.0152327060387989,0.0134901223429888,0.0142282595745358,188.6121561294,204.064580968962,136.550616117944,140.890675962416,0.125668826839129,0.139837670057648,2
2046,0.0200036632968255,0.020571487436507,0.0162436965396563,0.015455328424053,0.0130925684200719,0.0144580339166975,189.248108935693,203.234475421611,132.513411674358,142.294483477156,0.130254432953123,0.137198042947845,2
2047,0.0199996557447578,0.0194383356649891,0.0158430468851844,0.0144427075833444,0.0125661174892975,0.0131264607294417,186.779054839964,198.446543782124,127.21054547211,136.720326047154,0.12692989948098,0.135056577755546,2
2048,0.0199989987690091,0.0199384913025451,0.0158472479904281,0.0149720811832208,0.0123940860787259,0.0135921240770841,184.628434091001,198.229108086195,125.473142039065,138.01921605715,0.131401727932722,0.134634204205096,2
2049,0.0199972906320622,0.0199440098988349,0.0158380065296063,0.0148057416745294,0.0122067716641893,0.0137569233292927,181.020701874773,202.390428138765,123.587395945033,139.653992142187,0.130427354920101,0.138483989024059,2
2050,0.0199956481926903,0.0202056176420044,0.0153528481739048,0.0149815143164106,0.0117646731822753,0.0138898347432541,182.615707836813,202.407168959422,119.121155963672,139.177639800787,0.14160908663782,0.138056607761215,2
2051,0.0200026778332023,0.0192419656136749,0.0152434144223202,0.014333458956459,0.0112357154917796,0.0134001234474468,175.829708225283,203.823932432022,113.725305595167,140.995055949089,0.127961742854702,0.14353658578223,2
2052,0.0200051743410477,0.0200168028118012,0.0149041500356615,0.0150079771471357,0.0109263061393025,0.0138396516456398,176.252449919902,201.894926168229,110.579734599475,139.982893714587,0.130770039145627,0.139818367407225,2
2053,0.0199981447005356,0.0195977836792211,0.0145609026788357,0.014482499268064,0.0105777464513787,0.0134328893890881,174.997990576109,202.038261113465,107.089764968879,138.773645840967,0.13541526361955,0.137041866826683,2
2054,0.0199956481926902,0.0198747646549122,0.014257075228571,0.0147984524437813,0.010309939403351,0.0137898195181009,175.031682365726,201.352126943951,104.391501626488,140.475668196933,0.141609086637821,0.136388127687849,2
2055,0.0200059627119462,0.019648436509453,0.0140364060157262,0.014621730402458,0.00977378946459602,0.0134261052112572,170.177663549449,200.690286432518,98.9117860190034,138.345987422299,0.132603869747403,0.147053906391063,2
2056,0.0199978819102362,0.0198620193253856,0.0134593262415644,0.014841014324539,0.00942668125893928,0.0137403778350056,172.348149499314,199.968997433812,95.4375632707871,140.061829291934,0.1408048148282,0.136740262962045,2
2057,0.0199966336563134,0.0196473196506801,0.0130401936729401,0.0146267798738317,0.00904955653518874,0.0134805305104585,171.551533747994,201.1678778403,91.6251980494249,138.914695690799,0.143901910150015,0.138301394048627,2
2058,0.0200024807404778,0.0200292196534534,0.012538934041761,0.0150501938309383,0.00867448913797868,0.0139478958597314,170.3351877442,202.424467529613,87.8020317710314,140.990284181151,0.1455020807126,0.141699740873162,2
2059,0.0200001156277821,0.0206532152196568,0.0122046839742212,0.0152267475629728,0.0081726364023416,0.0141387214208312,166.059906635284,201.598527874405,82.7321270825391,138.601198593987,0.140000722669147,0.135382736156355,2
2060,0.0199960423781396,0.0193514834709987,0.0114567548947304,0.0144678882034862,0.00765627358585863,0.0135473500541929,168.710810882026,204.336480907604,77.5207408570684,141.7374478824,0.151528592315151,0.143267448413534,2
