"year","sum_saved_kw_direct_prio","sum_saved_ghg_direct_prio","sum_saved_kw_prio","sum_saved_ghg_old_prio","sum_saved_ghg_neutral_prio","sum_saved_ghg_decarb_prio","sum_saved_kw_direct_rand","sum_saved_ghg_direct_rand","sum_saved_kw_rand","sum_saved_ghg_old_rand","sum_saved_ghg_neutral_rand","sum_saved_ghg_decarb_rand","cum_saved_kw_direct_prio","cum_saved_ghg_direct_prio","cum_saved_kw_prio","cum_saved_ghg_old_prio","cum_saved_ghg_neutral_prio","cum_saved_ghg_decarb_prio","cum_saved_kw_direct_rand","cum_saved_ghg_direct_rand","cum_saved_kw_rand","cum_saved_ghg_old_rand","cum_saved_ghg_neutral_rand","cum_saved_ghg_decarb_rand","remain_kw_direct_prio","remain_ghg_direct_prio","remain_kw_prio","remain_ghg_old_prio","remain_ghg_neutral_prio","remain_ghg_decarb_prio","remain_kw_direct_rand","remain_ghg_direct_rand","remain_kw_rand","remain_ghg_old_rand","remain_ghg_neutral_rand","remain_ghg_decarb_rand","relative_kw_direct_prio","relative_ghg_direct_prio","relative_kw_prio","relative_ghg_old_prio","relative_ghg_neutral_prio","relative_ghg_decarb_prio","relative_kw_direct_rand","relative_ghg_direct_rand","relative_kw_rand","relative_ghg_old_rand","relative_ghg_neutral_rand","relative_ghg_decarb_rand"
2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3023381249.48806,0.000677843714824238,3385687526.54006,0.00078088306386573,0.00078088306386573,0.00078088306386573,3023381249.48806,0.000677843714824238,3385687526.54006,0.00078088306386573,0.00078088306386573,0.00078088306386573,1,1,1,1,1,1,1,1,1,1,1,1
2024,221717258.363736,6.7534777004933e-05,246227934.759163,6.76153391746951e-05,7.74427726839892e-05,8.14840340878317e-05,72869787.4932314,2.53531774985177e-05,79942859.2421195,2.16027480532783e-05,2.60488959468237e-05,2.90637933464757e-05,221717258.363736,6.7534777004933e-05,246227934.759163,6.76153391746951e-05,7.74427726839892e-05,8.14840340878317e-05,72869787.4932314,2.53531774985177e-05,79942859.2421195,2.16027480532783e-05,2.60488959468237e-05,2.90637933464757e-05,2801663991.12432,0.000610308937819305,3139459591.7809,0.000713267724691035,0.000703440291181741,0.000699399029777899,2950511461.99483,0.000652490537325721,3305744667.29794,0.000759280315812452,0.000754834167918907,0.000751819270519255,0.92666579565469,0.900368218325305,0.927273874854367,0.913411697213706,0.90082667140889,0.895651426111807,0.975897916445182,0.962597311232588,0.976387998415254,0.972335489072673,0.966641745541426,0.962780863497543
2025,155761680.819464,4.87355168311321e-05,170978331.585057,4.66928999661256e-05,5.40686570717425e-05,5.73470378350816e-05,72407270.5607657,2.5297749936837e-05,79266929.6489651,2.15999596667192e-05,2.61812936019193e-05,2.90716875223274e-05,377478939.1832,0.000116270293836065,417206266.34422,0.000114308239140821,0.000131511429755732,0.000138831071922913,145277058.053997,5.06509274353547e-05,159209788.891085,4.32027077199975e-05,5.22301895487431e-05,5.8135480868803e-05,2645902310.30486,0.000561573420988173,2968481260.19584,0.00066657482472491,0.000649371634109999,0.000642051991942817,2878104191.43406,0.000627192787388884,3226477737.64898,0.000737680356145733,0.000728652874316987,0.000722747582996927,0.875146761842517,0.828470351950946,0.876773546562173,0.853616700847701,0.831586269646201,0.822212725122202,0.951948812913159,0.925276392879901,0.952975640060385,0.944674548957274,0.933113942451025,0.92555161770188
2026,135440711.940281,4.28967821138623e-05,146372321.417356,3.97633731750543e-05,4.6507519122275e-05,4.92933983229589e-05,74736086.6228445,2.5956691845582e-05,81337536.1504877,2.19787652573239e-05,2.65245128604184e-05,2.95279415002264e-05,512919651.123481,0.000159167075949927,563578587.761577,0.000154071612315875,0.000178018948878007,0.000188124470245872,220013144.676842,7.66076192809367e-05,240547325.041572,6.51814729773214e-05,7.87547024091615e-05,8.76634223690294e-05,2510461598.36458,0.000518676638874311,2822108938.77848,0.000626811451549855,0.000602864114987724,0.000592758593619858,2803368104.81121,0.000601236095543302,3145140201.49849,0.000715701590888409,0.000702128361456569,0.000693219641496701,0.83034900040796,0.7651861742331,0.83354087365011,0.802695666681322,0.772028672261464,0.759087526735988,0.927229440642295,0.886983359725035,0.928951705331355,0.916528509845452,0.899146612273431,0.887738092391126
2027,124374060.407084,3.94245590515826e-05,134205174.91108,3.61634129435764e-05,4.22403088507463e-05,4.49462024105423e-05,75286019.925451,2.61108390224854e-05,81760082.444933,2.20329716316215e-05,2.65837265524222e-05,2.96575875120262e-05,637293711.530565,0.00019859163500151,697783762.672657,0.000190235025259451,0.000220259257728753,0.000233070672656414,295299164.602292,0.000102718458303422,322307407.486505,8.7214444608943e-05,0.000105338428961584,0.000117321009881056,2386087537.95749,0.000479252079822729,2687903763.8674,0.000590648038606279,0.000560623806136977,0.000547812391209316,2728082084.88576,0.000575125256520816,3063380119.05356,0.000693668619256787,0.000675544634904147,0.000663562053984675,0.789211594919272,0.707024450240711,0.79390190110493,0.75638474688169,0.717935670626062,0.701529353828463,0.902328174902753,0.848462918432376,0.904802966912933,0.888313053970986,0.865103452954774,0.849758542206995
2028,115153975.516181,3.6972194621142e-05,122795041.985369,3.2819622814418e-05,3.86610039970992e-05,4.1228504939393e-05,74925281.9695504,2.6171916506738e-05,81714795.5297958,2.22587409954252e-05,2.69605700053843e-05,2.99433176052163e-05,752447687.046746,0.000235563829622652,820578804.658026,0.000223054648073869,0.000258920261725852,0.000274299177595807,370224446.571843,0.00012889037481016,404022203.016301,0.000109473185604368,0.000132298998966968,0.000147264327486272,2270933562.44131,0.000442279885201587,2565108721.88204,0.000557828415791861,0.000521962802139878,0.000506583886269923,2653156802.91621,0.000548953340014078,2981665323.52376,0.000671409878261362,0.000648584064898762,0.000633618736379458,0.75112378328927,0.652480616887135,0.757633036650432,0.714355889639037,0.668426332050182,0.64873206976996,0.877546225228945,0.809852371584531,0.880667604482336,0.859808477517203,0.830577707356045,0.811413085645313
2029,108469611.906669,3.50642422204002e-05,114215767.512402,3.02485399894723e-05,3.57808688934864e-05,3.83393394634026e-05,75314864.7039082,2.61654183084321e-05,82131425.92832,2.2324274079641e-05,2.69536180266928e-05,2.99118925864169e-05,860917298.953415,0.000270628071843052,934794572.170428,0.000253303188063342,0.000294701130619339,0.00031263851705921,445539311.275751,0.000155055793118592,486153628.944621,0.000131797459684009,0.000159252616993661,0.000177176220072689,2162463950.53464,0.000407215642981186,2450892954.36963,0.000527579875802389,0.000486181933246392,0.00046824454680652,2577841938.21231,0.000522787921705646,2899533897.59544,0.000649085604181721,0.00062163044687207,0.000603706843793041,0.715246861738263,0.600751521442926,0.723898155147908,0.675619564843199,0.622605298723688,0.599634655268991,0.852635418920061,0.771251411309763,0.856409185687187,0.831219979299396,0.796060864471452,0.773107872008922
2030,101602995.515094,3.32357864537909e-05,106958876.570729,2.83755626790757e-05,3.37182152213418e-05,3.62377821658218e-05,72102185.6497633,2.52830568406242e-05,78889057.5273655,2.15062404005816e-05,2.60594044501358e-05,2.90054595296078e-05,962520294.468509,0.000303863858296843,1041753448.74116,0.000281678750742417,0.00032841934584068,0.000348876299225032,517641496.925514,0.000180338849959216,565042686.471987,0.000153303700084591,0.000185312021443797,0.000206181679602297,2060860955.01955,0.000373979856527395,2343934077.7989,0.000499204313123313,0.00045246371802505,0.000432006764640699,2505739752.56254,0.000497504864865022,2820644840.06807,0.00062757936378114,0.000595571042421934,0.000574701384263434,0.681641111377703,0.551719885201512,0.692306676096079,0.639281777545568,0.579425702723205,0.55322849813398,0.828787223902654,0.733952169186997,0.833108436014052,0.803679056214042,0.762689152808083,0.735963437878134
2031,94290186.6276699,3.13418563155358e-05,99441800.8912412,2.65257256802331e-05,3.17544499424703e-05,3.42701588745679e-05,75453812.2313206,2.63974936088513e-05,81888549.9603339,2.22726667800532e-05,2.70239798000861e-05,3.00324243197741e-05,1056810481.09618,0.000335205714612379,1141195249.6324,0.00030820447642265,0.000360173795783151,0.0003831464580996,593095309.156835,0.000206736343568068,646931236.432321,0.000175576366864644,0.000212336001243883,0.000236214103922071,1966570768.39188,0.00034263800021186,2244492276.90766,0.00047267858744308,0.00042070926808258,0.000397736605766131,2430285940.33122,0.000471107371256171,2738756290.10774,0.000605306697001086,0.000568547062621848,0.00054466895994366,0.650454112833065,0.505482300297944,0.662935447915177,0.605312894229135,0.538760907426876,0.509342082279454,0.803830459933803,0.695008836038742,0.808921753303844,0.775156646379984,0.728082204533004,0.697503871126744
2032,87964124.809089,2.96399358750343e-05,92705602.1894238,2.4725541597247e-05,2.98192846366948e-05,3.22152493888998e-05,75004255.2301839,2.61385440448082e-05,81716314.2204186,2.2140613507699e-05,2.6791320426127e-05,2.9776509185443e-05,1144774605.90527,0.000364845650487413,1233900851.82182,0.000332930018019897,0.000389993080419845,0.0004153617074885,668099564.387019,0.000232874887612876,728647550.652739,0.000197716980372343,0.00023912732167001,0.000265990613107514,1878606643.58279,0.000312998064336825,2151786674.71824,0.000447953045845833,0.000390889983445885,0.000365521356377231,2355281685.10104,0.000444968827211363,2657039975.88732,0.000583166083493387,0.000541755742195721,0.000514892450758217,0.62135949407667,0.461755501292778,0.635553830012546,0.573649329296834,0.500574287667093,0.468087186534347,0.779022389419083,0.656447522459865,0.78478594231129,0.746803344160708,0.69377320019438,0.659372029672743
