"year","full_renovations_prio","full_renovations_rand","full_renovations_prio_partial","full_renovations_rand_partial","full_renovations_prio_m2","full_renovations_rand_m2","sqm_prio","sqm_rand","sqm_prio_renovated","sqm_rand_renovated","share_flats_prio","share_flats_rand","rate_renovation"
2023,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,3.5
2024,0.0349993975533244,0.0346479812252941,0.033511142722521,0.0259378079910296,0.0605778319494498,0.023883588672201,382.189064741269,200.274851710612,350.427093326662,139.561672962131,0.10635681905639,0.138077233752906,3.5
2025,0.0350002516217979,0.0344199449428879,0.0326045949527696,0.0255677269587217,0.0444338389433894,0.0237818665529885,292.087133184157,203.020818156101,257.031996184776,139.887943504795,0.0989210658698012,0.143611081950336,3.5
2026,0.0349999888314983,0.0350356626146567,0.0321653108584862,0.0263960137306832,0.0390420486484179,0.0242854155360235,262.707943260019,200.804145673867,225.844340350751,140.339434587212,0.0968570270148602,0.13399914117541,3.5
2027,0.0349932876788606,0.0355052688798939,0.0322502424689758,0.0266271459764815,0.0356289798960754,0.0243398123777634,241.009459536246,199.784491352044,206.140421697429,138.793439842432,0.0982273271728568,0.13936921183863,3.5
2028,0.0349984777872761,0.0352391937016327,0.0317834753695966,0.026353732908619,0.0335262131418918,0.0246788691234942,230.702966135381,203.864147701119,193.945570449038,141.789415133468,0.101704269214101,0.140533385534663,3.5
2029,0.0350047190568896,0.0353050883692366,0.0313888057100631,0.026645109432466,0.0316224378000084,0.0245669731919849,221.525996285241,200.803647815611,182.899816486274,140.883089900392,0.103150055553897,0.137293724459814,3.5
2030,0.0350006458072468,0.0344730285833905,0.0311818235588543,0.0254579117110893,0.0302573028030722,0.0238685610933348,215.006206272653,203.059509555204,175.024430391649,140.181698634904,0.109731696054852,0.14388544050863,3.5
2031,0.0350022225490441,0.0361709824061459,0.0306264242515111,0.0268294930850092,0.0288307963335738,0.0246824303202418,211.579559192388,200.584663912728,166.7652410381,138.156758290054,0.116971796883519,0.133062582641945,3.5
2032,0.0349975580212276,0.0350057045205118,0.0304294776884669,0.0260828699948573,0.0276911266089414,0.0245523917003707,205.05084547699,203.739750100166,160.19442658407,142.00364774898,0.117625636607004,0.140457293213064,3.5
2033,0.0350004487145222,0.0355931722350824,0.0302385242250322,0.0264554920207522,0.0265420656524734,0.0244107595731484,198.80121530985,201.175639183071,153.534375222847,138.854230574291,0.119755758318629,0.137954456940472,3.5
2034,0.0350003830169475,0.034702904397893,0.0296576392068499,0.026050855575027,0.0251428762741817,0.0241956021104254,193.798039897156,202.597471655378,145.440942562132,141.161131012757,0.117954012200858,0.137366486060805,3.5
