"year","sum_saved_kw_direct_prio","sum_saved_ghg_direct_prio","sum_saved_kw_prio","sum_saved_ghg_old_prio","sum_saved_ghg_neutral_prio","sum_saved_ghg_decarb_prio","sum_saved_kw_direct_rand","sum_saved_ghg_direct_rand","sum_saved_kw_rand","sum_saved_ghg_old_rand","sum_saved_ghg_neutral_rand","sum_saved_ghg_decarb_rand","cum_saved_kw_direct_prio","cum_saved_ghg_direct_prio","cum_saved_kw_prio","cum_saved_ghg_old_prio","cum_saved_ghg_neutral_prio","cum_saved_ghg_decarb_prio","cum_saved_kw_direct_rand","cum_saved_ghg_direct_rand","cum_saved_kw_rand","cum_saved_ghg_old_rand","cum_saved_ghg_neutral_rand","cum_saved_ghg_decarb_rand","remain_kw_direct_prio","remain_ghg_direct_prio","remain_kw_prio","remain_ghg_old_prio","remain_ghg_neutral_prio","remain_ghg_decarb_prio","remain_kw_direct_rand","remain_ghg_direct_rand","remain_kw_rand","remain_ghg_old_rand","remain_ghg_neutral_rand","remain_ghg_decarb_rand","relative_kw_direct_prio","relative_ghg_direct_prio","relative_kw_prio","relative_ghg_old_prio","relative_ghg_neutral_prio","relative_ghg_decarb_prio","relative_kw_direct_rand","relative_ghg_direct_rand","relative_kw_rand","relative_ghg_old_rand","relative_ghg_neutral_rand","relative_ghg_decarb_rand"
2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3023381249.48806,0.000677843714824238,3385687526.54006,0.00078088306386573,0.00078088306386573,0.00078088306386573,3023381249.48806,0.000677843714824238,3385687526.54006,0.00078088306386573,0.00078088306386573,0.00078088306386573,1,1,1,1,1,1,1,1,1,1,1,1
2024,113552273.008021,3.41713159400954e-05,127036973.151867,3.50332833827022e-05,3.98462354702346e-05,4.19123243540654e-05,31244756.0257562,1.08411544846282e-05,34503615.5477567,9.41039838980147e-06,1.12912946578321e-05,1.26107505778801e-05,113552273.008021,3.41713159400954e-05,127036973.151867,3.50332833827022e-05,3.98462354702346e-05,4.19123243540654e-05,31244756.0257562,1.08411544846282e-05,34503615.5477567,9.41039838980147e-06,1.12912946578321e-05,1.26107505778801e-05,2909828976.48004,0.000643672398884143,3258650553.38819,0.000745849780483028,0.000741036828395496,0.000738970739511665,2992136493.4623,0.00066700256033961,3351183910.9923,0.000771472665475929,0.000769591769207898,0.00076827231328785,0.962441960296192,0.949588208619806,0.962478234581296,0.95513632577806,0.94897285225655,0.946327015793402,0.989665624859238,0.984006409962156,0.989808978153688,0.987949029982523,0.985540351455524,0.983850654263839
2025,83519715.6345196,2.57421724645416e-05,91596461.3083388,2.49294839178452e-05,2.87867571837095e-05,3.02615324636855e-05,30662607.037512,1.07017095957698e-05,33363858.3929823,8.9340608284058e-06,1.08276251864275e-05,1.20906734257795e-05,197071988.642541,5.99134884046369e-05,218633434.460206,5.99627673005474e-05,6.86329926539441e-05,7.21738568177509e-05,61907363.0632682,2.1542864080398e-05,67867473.940739,1.83444592182073e-05,2.21189198442597e-05,2.47014240036597e-05,2826309260.84552,0.000617930226419602,3167054092.07986,0.000720920296565183,0.000712250071211786,0.000708709207047979,2961473886.42479,0.00065630085074384,3317820052.59932,0.000762538604647523,0.000758764144021471,0.000756181639862071,0.934817354352545,0.91161164868192,0.935424213620909,0.923211592010071,0.912108488671557,0.907574052815978,0.979523798702611,0.968218538271785,0.979954596102348,0.9765080585467,0.971674478718029,0.968367320093515
2026,72340693.5317305,2.26146190024878e-05,79653440.9989385,2.17796066661369e-05,2.52064201758241e-05,2.67549168158875e-05,31060571.2716136,1.08026073350779e-05,34186275.734957,9.2729754460195e-06,1.12036543725424e-05,1.24432186130464e-05,269412682.174271,8.25281074071247e-05,298286875.459144,8.17423739666843e-05,9.38394128297682e-05,9.89287736336384e-05,92967934.3348818,3.23454714154759e-05,102053749.675696,2.76174346642268e-05,3.33225742168021e-05,3.71446426167061e-05,2753968567.31379,0.000595315607417114,3087400651.08092,0.000699140689899046,0.000687043651035962,0.000681954290232092,2930413315.15317,0.000645498243408763,3283633776.86437,0.000753265629201504,0.000747560489648928,0.000743738421249024,0.910890271539558,0.878249063018127,0.911897694893311,0.895320595683018,0.879829109924321,0.873311666994165,0.969250343683707,0.95228181554525,0.969857304055467,0.964633072553133,0.957327062451784,0.952432516037903
2027,65650826.4284688,2.04996802158079e-05,72600158.851095,1.99720503832944e-05,2.31163188232057e-05,2.44219363629855e-05,31723484.8229646,1.11509838930727e-05,34471054.463417,9.38065603686303e-06,1.14344184759669e-05,1.26833161959549e-05,335063508.60274,0.000103027787622933,370887034.310239,0.000101714424349979,0.000116955731652974,0.000123350709996624,124691419.157846,4.34964553085486e-05,136524804.139113,3.69980907010898e-05,4.4756992692769e-05,4.9827958812661e-05,2688317740.88532,0.000574815927201306,3014800492.22982,0.000679168639515752,0.000663927332212756,0.000657532353869106,2898689830.33021,0.00063434725951569,3249162722.40095,0.00074388497316464,0.000736126071172961,0.000731055105053069,0.889175899116436,0.848006575306747,0.890454440522673,0.869744358590074,0.850226318043076,0.842036899371359,0.958757626356597,0.935831144617418,0.959675899483071,0.95262019063657,0.942684129335318,0.936190242664517
2028,63467849.6432984,1.98218144862368e-05,68901244.9781603,1.86487391313055e-05,2.15951949806832e-05,2.29427054443352e-05,31286657.062196,1.0871991930641e-05,34481028.4509637,9.41226304505841e-06,1.13332673905634e-05,1.26207814707674e-05,398531358.246038,0.000122849602109169,439788279.288399,0.000120363163481284,0.000138550926633657,0.000146293415440959,155978076.220042,5.43684472391896e-05,171005832.590077,4.64103537461482e-05,5.60902600833324e-05,6.24487402834284e-05,2624849891.24202,0.000554994112715069,2945899247.25166,0.000660519900384446,0.000642332137232073,0.000634589648424771,2867403173.26801,0.000623475267585049,3214681693.94998,0.000734472710119582,0.000724792803782398,0.000718434323582302,0.868183558288085,0.818764120072982,0.87010370099398,0.845862755832568,0.822571479591622,0.812656437038422,0.948409392217256,0.9197920611342,0.949491548983898,0.940566832738828,0.928170730447578,0.920028051352172
2029,57962307.0699971,1.84078798296259e-05,63123187.1068919,1.73216480418815e-05,2.02521015974822e-05,2.14641921977342e-05,32235399.7169028,1.11727910491211e-05,34999212.0003844,9.46227433996812e-06,1.14269737219457e-05,1.26830496019457e-05,456493665.316035,0.000141257481938795,502911466.395291,0.000137684811523166,0.000158803028231139,0.000167757607638693,188213475.936945,6.55412382883107e-05,206005044.590461,5.58726280861163e-05,6.7517233805278e-05,7.51317898853741e-05,2566887584.17202,0.000536586232885443,2882776060.14477,0.000643198252342565,0.000622080035634591,0.000613125456227037,2835167773.55111,0.000612302476535928,3179682481.9496,0.000725010435779614,0.000713365830060452,0.000705751273980356,0.849012205988467,0.791607595011156,0.851459574324854,0.823680627875879,0.796636608501929,0.785169360943473,0.937747356219526,0.903309218843601,0.939154147281576,0.928449430303276,0.913537331094061,0.903786119379466
2030,56425985.8074463,1.7909594011132e-05,60667121.3662857,1.6386800792709e-05,1.9215920646867e-05,2.0366862607179e-05,31799668.7398964,1.10663809926262e-05,34542280.4511111,9.30884489120483e-06,1.12374686038835e-05,1.25316324836555e-05,512919651.123482,0.000159167075949927,563578587.761577,0.000154071612315875,0.000178018948878006,0.000188124470245872,220013144.676841,7.66076192809369e-05,240547325.041572,6.51814729773212e-05,7.87547024091615e-05,8.76634223690296e-05,2510461598.36457,0.000518676638874311,2822108938.77848,0.000626811451549856,0.000602864114987724,0.000592758593619858,2803368104.81122,0.000601236095543302,3145140201.49849,0.000715701590888409,0.000702128361456569,0.000693219641496701,0.830349000407959,0.7651861742331,0.83354087365011,0.802695666681322,0.772028672261464,0.759087526735988,0.927229440642296,0.886983359725035,0.928951705331356,0.916528509845453,0.899146612273431,0.887738092391125
2031,54340095.4073398,1.72634857238999e-05,58881950.6917319,1.58861658773085e-05,1.85513967052828e-05,1.97605894251028e-05,32500400.4816749,1.12803688284246e-05,35272008.5395663,9.49789665332958e-06,1.14673163387903e-05,1.27930688985143e-05,567259746.530822,0.000176430561673827,622460538.453309,0.000169957778193183,0.000196570345583289,0.000207885059670975,252513545.158516,8.78879881093615e-05,275819333.581138,7.46793696306507e-05,9.02220187479518e-05,0.000100456491267544,2456121502.95724,0.000501413153150411,2763226988.08675,0.000610925285672547,0.000584312718282441,0.000572998004194755,2770867704.32954,0.000589955726714877,3109868192.95892,0.00070620369423508,0.000690661045117779,0.000680426572598186,0.812375714565646,0.739717935247692,0.81614944274275,0.78235181929569,0.74827172635788,0.733782086857092,0.916479754182085,0.870341811560279,0.918533730174737,0.904365489423021,0.884461550105452,0.871355269545432
2032,52810018.5038818,1.67380622696423e-05,56461338.4873673,1.5197048047248e-05,1.77996011651388e-05,1.89040281250308e-05,32599231.3429141,1.12549175957651e-05,35322518.3736637,9.51619713362847e-06,1.14493662881941e-05,1.27818018882181e-05,620069765.034703,0.000193168623943469,678921876.940676,0.000185154826240431,0.000214369946748428,0.000226789087796006,285112776.50143,9.91429057051266e-05,311141851.954802,8.41955667642792e-05,0.000101671385036146,0.000113238293155762,2403311484.45335,0.000484675090880769,2706765649.59938,0.000595728237625299,0.000566513117117302,0.000554093976069724,2738268472.98663,0.000578700809119112,3074545674.58526,0.000696687497101451,0.000679211678829584,0.000667644770709968,0.794908510086282,0.715024835785994,0.799472966238415,0.762890457216693,0.725477530928641,0.709573560638778,0.905697378870194,0.853737810741767,0.908100836383809,0.892179033378605,0.869799474798665,0.854986875249694
